id,system_index,evaporation_from_bare_soil_sum_202003010315,evaporation_from_bare_soil_sum_202003160331,evaporation_from_bare_soil_sum_202004010415,evaporation_from_bare_soil_sum_202004160430,evaporation_from_bare_soil_sum_202005010515,evaporation_from_bare_soil_sum_202005160531,evaporation_from_bare_soil_sum_202006010615,evaporation_from_bare_soil_sum_202006160630,evaporation_from_bare_soil_sum_202007010715,evaporation_from_bare_soil_sum_202007160731,evaporation_from_bare_soil_sum_202008010815,evaporation_from_bare_soil_sum_202008160831,evaporation_from_bare_soil_sum_202009010915,evaporation_from_bare_soil_sum_202009160930,name,soil_temperature_level_1_202003010315,soil_temperature_level_1_202003160331,soil_temperature_level_1_202004010415,soil_temperature_level_1_202004160430,soil_temperature_level_1_202005010515,soil_temperature_level_1_202005160531,soil_temperature_level_1_202006010615,soil_temperature_level_1_202006160630,soil_temperature_level_1_202007010715,soil_temperature_level_1_202007160731,soil_temperature_level_1_202008010815,soil_temperature_level_1_202008160831,soil_temperature_level_1_202009010915,soil_temperature_level_1_202009160930,surface_solar_radiation_downwards_sum_202003010315,surface_solar_radiation_downwards_sum_202003160331,surface_solar_radiation_downwards_sum_202004010415,surface_solar_radiation_downwards_sum_202004160430,surface_solar_radiation_downwards_sum_202005010515,surface_solar_radiation_downwards_sum_202005160531,surface_solar_radiation_downwards_sum_202006010615,surface_solar_radiation_downwards_sum_202006160630,surface_solar_radiation_downwards_sum_202007010715,surface_solar_radiation_downwards_sum_202007160731,surface_solar_radiation_downwards_sum_202008010815,surface_solar_radiation_downwards_sum_202008160831,surface_solar_radiation_downwards_sum_202009010915,surface_solar_radiation_downwards_sum_202009160930,temperature_2m_202003010315,temperature_2m_202003160331,temperature_2m_202004010415,temperature_2m_202004160430,temperature_2m_202005010515,temperature_2m_202005160531,temperature_2m_202006010615,temperature_2m_202006160630,temperature_2m_202007010715,temperature_2m_202007160731,temperature_2m_202008010815,temperature_2m_202008160831,temperature_2m_202009010915,temperature_2m_202009160930,temperature_2m_max_202003010315,temperature_2m_max_202003160331,temperature_2m_max_202004010415,temperature_2m_max_202004160430,temperature_2m_max_202005010515,temperature_2m_max_202005160531,temperature_2m_max_202006010615,temperature_2m_max_202006160630,temperature_2m_max_202007010715,temperature_2m_max_202007160731,temperature_2m_max_202008010815,temperature_2m_max_202008160831,temperature_2m_max_202009010915,temperature_2m_max_202009160930,temperature_2m_min_202003010315,temperature_2m_min_202003160331,temperature_2m_min_202004010415,temperature_2m_min_202004160430,temperature_2m_min_202005010515,temperature_2m_min_202005160531,temperature_2m_min_202006010615,temperature_2m_min_202006160630,temperature_2m_min_202007010715,temperature_2m_min_202007160731,temperature_2m_min_202008010815,temperature_2m_min_202008160831,temperature_2m_min_202009010915,temperature_2m_min_202009160930,total_evaporation_sum_202003010315,total_evaporation_sum_202003160331,total_evaporation_sum_202004010415,total_evaporation_sum_202004160430,total_evaporation_sum_202005010515,total_evaporation_sum_202005160531,total_evaporation_sum_202006010615,total_evaporation_sum_202006160630,total_evaporation_sum_202007010715,total_evaporation_sum_202007160731,total_evaporation_sum_202008010815,total_evaporation_sum_202008160831,total_evaporation_sum_202009010915,total_evaporation_sum_202009160930,total_precipitation_sum_202003010315,total_precipitation_sum_202003160331,total_precipitation_sum_202004010415,total_precipitation_sum_202004160430,total_precipitation_sum_202005010515,total_precipitation_sum_202005160531,total_precipitation_sum_202006010615,total_precipitation_sum_202006160630,total_precipitation_sum_202007010715,total_precipitation_sum_202007160731,total_precipitation_sum_202008010815,total_precipitation_sum_202008160831,total_precipitation_sum_202009010915,total_precipitation_sum_202009160930,Code,ÏØÃû,ÊÐ_úÂë,ÊÐÃû,Ê_úÂë,Ê_Ãû,geo,_source_file,_sheet_name,_row_number,_created_at,_table_description
1,00000000000000000a79,-90.33699344,-239.5974064,-280.1130959,-330.3940763,-313.9881169,-383.2728353,-394.6880486,-336.4692445,-357.8851633,-414.1780102,-471.6301594,-469.4178275,-409.4592888,-390.0061508,Miyun,0.5357867789283388,4.963454170530467,8.716708387028445,10.927858295244018,17.768496258843875,18.789839257767724,23.722039060225374,25.053581720188916,23.355030425726618,25.000230700615376,25.751507041715318,22.61470578450777,19.94661744406133,16.80888234794278,5.063786422571296E9,5.881863089859908E9,6.13409093229995E9,6.215105235186798E9,5.545133124128628E9,6.458131287471525E9,6.652075412614915E9,5.463451429923335E9,4.722435484030028E9,5.399191029338995E9,5.190785980868813E9,4.2688693652864456E9,4.387396396802465E9,4.621168768348346E9,2.1158807874861547,7.435614464376666,10.328619408905627,12.012208690393331,17.904364491495702,18.9892187642711,23.890223008590265,24.405280798325055,23.091430646798425,24.79685080423007,25.65847065229553,22.486301518066668,19.493642216695562,16.78999945924582,11.85507267832139,18.983518458972608,23.313611873478905,29.758148535344677,31.41375534193288,28.71215841968157,34.19843730494554,33.077774400075945,31.403147196789735,34.59605244299129,33.57763994559611,31.24709920360028,28.781099310434843,23.994608406587833,-8.444854497,-2.75512785,-1.957797508,-1.512174364,8.383723899970601,8.809720370313967,14.105298851920642,17.1608193010837,16.817111255714245,17.73736316954166,19.67739521724791,16.094557283884985,10.552322604251879,9.003832550637597,-222.1428759,-385.2681618,-403.6131918,-535.0370527,-508.3925562,-648.9917452,-632.9088603,-564.4189792,-687.2170157,-771.5081293,-805.8746428,-774.6419394,-681.3512498,-628.4019652,154.28736693952786,43.08473568508174,95.79830898506825,57.55165561120494,92.04092277653847,216.995791284776,102.7901646729965,285.83019213522516,514.5796254447741,641.2500121493028,814.5490691892799,888.203565731545,632.8231669608539,258.83995210189676,110118,ÃÜÔÆÇø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,1,2026-06-02 20:26:54,
2,00000000000000000a7b,-63.50515372,-269.3029642,-337.363843,-416.0604358,-399.4061063,-511.2841721,-574.6776359,-465.771387,-452.2930103,-597.6018398,-665.1716276,-537.5860525,-533.6804924,-457.2503263,Yanqing,-0.174238454,3.4615842531629695,6.580011137520508,9.04353824924361,15.58648411452936,16.400838187388956,20.857678245447634,22.322047076668134,20.7221005350442,22.094991032284128,23.01949253900209,20.750306725054397,17.954368620385058,14.915258176887683,5.029245513475522E9,5.909196842094084E9,6.000063055067902E9,6.317404607655395E9,5.577997171691825E9,6.612552363404843E9,6.627237480527528E9,5.567525246770277E9,4.548362497726738E9,5.353579936408147E9,5.28281699819687E9,4.3963676317661495E9,4.638368760422049E9,4.60628456720221E9,0.7116050355321514,6.04524524690554,8.23614237744828,9.869446505412359,15.95044874001219,16.624171840490508,21.46061766972497,21.910238751888638,20.53565930736226,22.271896761285138,23.141507772068294,20.414768687434933,17.463585499654894,14.361846864119718,11.548075234113364,17.376403395270728,20.942645035728155,29.964337856035815,30.305188529297613,27.486670254549665,31.699927614141703,31.004052625163652,28.582274170817993,30.929821663091865,30.9877993013295,29.963887213505537,26.59290255726665,23.890718435650484,-9.656245622,-4.395559214,-3.29762224,-2.51411362,5.60327345129986,5.066984794170075,9.780907791482152,13.164680738303854,13.412043829694078,15.526787173557702,15.892451004081549,12.957454190365368,8.71104156555749,4.896367477946271,-171.8047137,-410.22857,-463.4338796,-576.7255459,-560.2948581,-743.9952473,-766.9784684,-701.8387583,-771.5270909,-939.375657,-943.0455215,-812.5598498,-790.9513,-652.2122753,155.77469944700596,75.51828886051707,156.23881134057518,52.85031784862783,99.46960838202364,372.5250122624485,81.4590407577951,642.5724302581798,989.4859106344416,900.3565820912477,1458.5802633904484,1072.053511259199,494.4222731083423,490.00970206492923,110119,ÑÓÇìÇø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,2,2026-06-02 20:26:54,
3,00000000000000000a7c,-82.27002836,-268.5884305,-332.6844313,-407.2672305,-406.9013746,-501.8640157,-539.7940043,-445.235185,-459.4927886,-557.1902685,-667.2631405,-557.1013793,-531.709482,-472.4230796,Huairou,0.05928311478688688,4.071321576608496,7.550904494759795,9.603605143037237,16.137416451406406,17.222847833285616,21.879550842970783,23.408140164516674,21.68830934906448,23.163723231678112,23.85597568496996,21.367847344397923,18.702046523966185,15.545116882454169,5.026423470852232E9,5.884282089143119E9,6.043996021252959E9,6.259660771614703E9,5.596161258630985E9,6.529411098426257E9,6.613712972357217E9,5.549890542835843E9,4.656620086982804E9,5.38586832005202E9,5.256596626072305E9,4.373614031858785E9,4.524697449556938E9,4.661936981444175E9,1.0329461177517867,6.301966107365549,8.994696417638425,10.490137029006391,16.573299919906518,17.351570057561837,22.26140231489492,22.957129788463945,21.516292464341873,23.17935901871078,23.92476905852144,21.161801318934526,18.17251824442025,15.089443584677396,11.62127713125883,18.32051588002346,22.045548300499853,29.688392307840136,30.639243038867654,27.368992715444026,32.87811523150553,31.98608964843327,29.93161161337378,32.621183259018466,31.885083585430618,30.259775965267348,27.673260623985712,23.786473402062853,-9.211995195,-4.071526893,-3.045351324,-2.316141067,6.1482995592715675,5.812813518031995,10.898126289783509,14.612377686312094,14.471302215932225,15.390180671927057,16.99219897477944,13.890290815249461,8.451850724523355,5.687495769624967,-199.0182061,-405.6479873,-453.6153123,-563.293963,-564.3784637,-709.2952684,-715.27514,-631.8389449,-761.1393495,-902.6606923,-948.1972236,-846.2835121,-777.3594686,-678.1658655,169.4040905286282,59.31869356184135,123.9335636588293,44.18737367355735,107.27685702662973,259.9804874891371,95.81595259567449,413.8494129821086,686.4911660737733,1025.4167884011083,1251.606953841497,1114.9877676231945,541.3738798699906,390.81651851907014,110116,»³ÈáÇø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,3,2026-06-02 20:26:54,
4,00000000000000000a7d,-146.1263023,-266.2767045,-262.3900811,-327.089834,-279.170646,-334.7947324,-333.1864129,-293.4174622,-325.9386839,-342.0112728,-437.0579758,-516.7079746,-450.1883872,-455.7867993,Pinggu,1.64677128395595,7.092613946041869,11.199638223376649,12.78606440146072,18.852404861978027,20.150213708413002,25.066686567422412,26.243259524556088,24.7949051776751,26.439500082769943,26.993120497461657,23.257719211814003,20.987768008452118,17.617823672330196,5.054371265518334E9,5.8903147709174185E9,6.168911991442276E9,6.308464570625688E9,5.524217676448286E9,6.443182546432919E9,6.702104041321216E9,5.447183239765168E9,4.793254349222812E9,5.390165579123817E9,5.0434856351609535E9,4.2212159071928678E9,4.411585193942375E9,4.560497057760287E9,2.6775477031016197,8.31989548945315,11.374191674266752,13.141546972949614,18.44593891116753,19.860538209070327,24.756793476455933,25.12196115961903,24.13326715780504,25.773736063426572,26.577126008175803,23.037911733511486,20.460862937248013,17.262380157249005,12.723384624508276,19.54758874699299,24.510099928354652,30.840218514997837,32.50565698742399,29.651502946232903,35.48280860413898,34.01735393743615,32.52157147154272,36.252348523632214,34.93429101774129,30.937795452962643,29.513258918539776,24.4842527180605,-6.663116288,-3.446486977,-1.303195958,-0.800402715,8.763788370864445,9.751878086387709,14.187858075321541,17.254912877965875,17.980365147752234,17.797387971870556,20.20255862597504,16.344598538975173,12.69248668288886,9.007842361053415,-286.3576347,-410.6422658,-370.0765171,-511.5890808,-418.9253564,-562.4128342,-539.4088699,-452.3899088,-598.7546096,-637.4653534,-737.1424521,-778.1776442,-697.2918766,-675.605179,130.90525963157538,39.689480094852016,88.92383181323734,57.89310902869441,90.32438382148577,227.88195384027117,162.3440857781997,246.07939740039606,355.4635859640007,562.923810931984,592.1954263625055,886.9488353542074,768.2482038311497,376.4183716730042,110117,Æ½¹ÈÇø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,4,2026-06-02 20:26:54,
5,00000000000000000a7f,-155.7948966,-291.419169,-277.5888475,-305.8391256,-247.5705206,-305.9514612,-299.1590853,-305.2318332,-379.8914601,-465.5476083,-522.6625882,-509.0796129,-490.1154996,-413.2547449,Changping,1.5519428750890851,7.151457688765158,10.851605563517952,13.09794605698411,18.876992500673065,20.16207759157803,25.30357663667523,25.894303300610687,23.62456926411802,25.213901384548805,25.89292067147039,23.011885815848576,20.759668510362474,17.464652499440405,4.995855162900699E9,5.888996829256338E9,6.005102283987574E9,6.390145760494407E9,5.426048597938139E9,6.635039169873447E9,6.682873388322286E9,5.637170351995443E9,4.607856780510425E9,5.434040804280793E9,5.128142859991301E9,4.4193095506628685E9,4.659646080638982E9,4.568827423872192E9,2.641101460675027,8.060454470970999,10.812152741900455,13.082250616431827,18.331626752045633,19.547039415754597,24.635496407581908,24.572604289361294,23.008753177306215,24.828118240926738,25.53045343134931,22.537554903554227,20.208608052393362,16.851370041809943,15.039701863067405,20.34642891239905,24.00089737187103,32.07498778959759,32.58662044816966,30.61397807477623,35.31283438534279,34.350683341754554,30.924142974373147,34.335002746834896,34.028376369270916,31.585348718069582,29.52537119269407,26.227098085603103,-5.1146697,-3.960036778,-1.712770478,0.4554532468006412,8.554259384142656,7.600123111163365,12.882622764269271,16.095690262274882,15.239915160795718,17.87648349731414,19.404015607604748,15.695064396556678,12.02600789421735,7.496793802678033,-319.7367913,-489.1370098,-416.412836,-493.7929692,-414.7389181,-560.2211472,-477.1200005,-556.8218496,-734.7275705,-852.9103207,-887.0477669,-851.1046557,-787.1625624,-678.1641019,147.1265323653202,60.61993463216882,111.16194510926076,28.818298890578454,146.33139332781835,221.8837550866114,51.56139810741668,561.5282644695843,725.0094964877621,562.8824191395205,1381.6627678155983,828.1773426520278,379.4071820369782,442.827716531067,110114,²ýÆ½Çø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,5,2026-06-02 20:26:54,
6,00000000000000000a81,-154.9757653,-207.4697005,-168.1141927,-257.5879417,-197.3087519,-213.0198774,-187.2628417,-208.0197552,-345.0008214,-413.4651858,-578.7291883,-670.2608066,-496.9370674,-439.9386368,Daxing,5.256769314798356,11.600412871956228,14.861679214066168,16.972590585075803,21.8154760913517,23.862096283655088,29.07996653590598,29.400230167212214,27.41043351690691,29.201901602219863,29.209579624783302,25.368424521406105,24.228196855397332,20.43299597725445,4.9763079997270975E9,5.930399369958081E9,6.003764536615873E9,6.566765076562476E9,5.540178348674263E9,6.703241391165909E9,6.649226073466217E9,5.602057538419996E9,4.873272411537595E9,5.631581723248275E9,4.925333627519705E9,4.659824081561206E9,4.835877369052761E9,4.549582994881813E9,4.876579933014067,10.727729490819693,13.344459807973314,16.007170090662093,20.23827803652143,22.20652374290283,27.366258699335926,27.105277754341987,25.703278536107195,27.75610420246354,27.915416301095163,24.428284227396443,22.89171972175106,19.051569484974543,16.39667793271157,24.720651272830228,26.90800981448862,33.92531282679196,34.9341592663295,33.82076158284537,38.1057845664726,37.249456435708304,34.30088806041494,37.62281739345432,37.92899656895072,32.22326233264885,32.18887978029651,28.224337902685736,-4.441585028,-1.490423784,1.204519490367775,1.7291738358403277,9.148223388095467,11.101539253209943,14.771097289506994,18.513753810207778,18.9240879833417,20.287640859740392,21.06901721448585,16.993808289350206,15.548264690472632,8.887613358447414,-239.1505292,-292.4572577,-228.3608588,-357.0074612,-288.0645907,-354.1758374,-282.4772831,-313.3562373,-558.8273429,-587.9675941,-781.7741624,-872.2819225,-639.8542591,-587.2422889,122.04334410151529,18.676828519633094,106.2801073966096,24.80079984817017,123.91716353068759,197.37753929179226,83.5080068748009,294.42731193592505,476.6131086135064,303.6765829061977,1193.169949455702,745.8170847843467,348.9673696375541,351.4768636805101,110115,´óÐËÇø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,6,2026-06-02 20:26:54,
7,00000000000000000a82,-180.7434,-254.4382097,-227.1435883,-332.8841581,-259.3200746,-330.0172102,-333.1429892,-290.7873568,-410.4154307,-480.1039339,-648.9837431,-671.813986,-522.3392934,-500.6372363,Tongzhou,5.030285065996336,11.159558745586466,14.560045821394937,16.53662883653961,21.62970007253774,23.162117755671247,28.152468296287903,29.088348667755998,27.31080844708526,28.912183823420577,28.950629850005203,25.22113476212424,23.890729582155075,20.260040038798415,4.96506495403077E9,5.910591616669298E9,6.0634205222916E9,6.513887799829243E9,5.576087274449879E9,6.599270332830662E9,6.66365364540138E9,5.623644587792917E9,4.9492210755646305E9,5.54963838677496E9,4.967108771644379E9,4.540579007725244E9,4.710439727915787E9,4.583553137895293E9,4.698683533661626,10.487588576836965,13.294565300989618,15.815381756627044,20.333555217704507,21.970383409710823,26.961869007787836,27.14867349214559,25.900686403304988,27.786992398588374,28.005996502632893,24.37383778260401,22.749735806618066,18.985120813499226,15.974360189809449,23.715199250060266,27.335760973645517,33.9810729980469,35.15540667571033,33.37022759326096,37.8387674257353,36.97474258224688,34.89726538720071,38.601810049081806,37.27032953980683,31.992985009527857,32.00000078275609,27.77389708679994,-5.011545817,-1.984661075,0.5414990412724711,3.3839329583304494,9.248419113902324,11.714210376491817,15.127471802451417,18.667576618937733,19.371070071629138,19.11306416152362,21.005404505791628,16.73960067947192,15.25335136264952,8.59571500505722,-267.3758955,-339.0573261,-276.2204943,-433.4914931,-345.3815469,-488.2662237,-451.1344651,-405.6722775,-611.0873202,-678.5501732,-855.190759,-865.0325844,-675.5929326,-654.2375942,127.40224594144212,19.596731734713032,95.48843244836546,30.124447001422563,123.92902545416192,292.4084194805377,112.72157557322414,366.49699308462175,417.81966288068196,594.5987487006573,805.8517399942016,890.5015982404325,476.4497085048728,441.28353398366585,110112,Í¨ÖÝÇø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,7,2026-06-02 20:26:54,
8,00000000000000000a83,-193.0988357,-279.393778,-237.4178959,-296.166496,-204.3941759,-247.6307687,-224.2656135,-243.4003256,-332.2912787,-345.6008739,-505.1151139,-596.0886551,-468.3334775,-444.6819448,Shunyi,2.8826712372004275,8.988171349600467,13.079755469452866,14.844451468084332,20.765201125471012,22.28809444969218,27.42039674289969,28.40770169768803,26.295980688774307,28.076149094348242,28.17361401779446,24.463566094631293,22.676548366466466,19.178962501894244,4.984112174938161E9,5.891131001954072E9,6.086312584816873E9,6.38977253673852E9,5.470605059318694E9,6.519305124016671E9,6.691384501771409E9,5.622044082027242E9,4.816532559711735E9,5.475526820772867E9,5.042739384342383E9,4.385342232810495E9,4.560437275159165E9,4.608673595085075E9,3.5705700474261235,9.191409360817907,12.453575959868255,14.601058162915345,19.78909143386719,21.302873979643692,26.30649360691356,26.536731280174724,25.138315614651678,26.980497294102705,27.347409176494562,23.916602296917436,21.776670309622386,18.294179216835413,15.130629288698445,21.306656392044665,26.118238201085777,32.738877902017066,34.20330911975562,31.967222354989033,37.171638958099656,36.039944853935594,33.751232093833295,37.747835155965305,36.23615719987076,32.02704176833263,31.206535958826734,26.46217870239616,-5.062302824,-3.563422154,-1.477404589,-0.220353683,9.46629390994594,9.41985181135619,14.43329536059857,18.112921725348226,18.238699100594502,18.656214301996283,20.889474359406695,16.427814085490525,13.330030043132124,9.030537365615912,-313.6107354,-396.0084044,-306.4448415,-433.7946237,-309.6528171,-423.8459717,-360.4329002,-373.6591299,-576.3776661,-595.0840381,-761.7232811,-834.6018784,-663.3715083,-635.2127095,118.29049557233762,24.94660674684998,85.39851189229047,28.234373609924248,92.41021991413963,191.91737443936253,63.28116717380594,282.41813351666747,376.77941705898877,514.4808501921929,677.726178216093,670.019477553518,422.0473291966309,333.51297241012077,110113,Ë³ÒåÇø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,8,2026-06-02 20:26:54,
9,00000000000000000a84,-181.2427197,-287.2560571,-251.6780841,-292.063941,-237.6914311,-241.592001,-185.8040812,-264.2958185,-497.0373096,-674.0114694,-601.3713501,-641.9604188,-615.1106091,-472.6626447,Fangshan,2.4453712357871034,8.52686669865593,11.553980289950117,14.005350038552095,19.165582129439308,21.15223097423552,26.664407692457527,26.504789162138128,23.62948388749164,25.23424275869105,26.210947974845123,23.11015648931944,21.194471771970935,17.681104710093116,5.019479723563108E9,5.927862728392374E9,5.893863642560877E9,6.513738619268329E9,5.397976969701889E9,6.742983586891951E9,6.649617497560828E9,5.490146129841548E9,4.57809266282018E9,5.615998378349589E9,4.958766361489668E9,4.649320313643819E9,4.875471896221715E9,4.462249923495744E9,3.2978412637844827,8.688240791701777,10.820310829509282,13.47155557771999,18.14396485382052,19.889858891975827,25.263413808815788,24.614352466163382,22.79769929647635,24.58597439769277,25.453036488195377,22.400639178871813,20.39766305572668,16.736898454321754,15.315916842105194,21.67858145667258,23.442595443026455,32.20594634695861,32.59499756567098,31.099712928157025,35.67662788934747,34.472933979366196,30.132715514371952,32.83128444314206,34.593212198885645,30.857957174551945,29.74789217593451,26.245854367080863,-5.024623116,-3.314132382,-1.351667068,-1.744643228,8.083952967635023,7.8715552411883145,12.762398087726456,16.49620820147672,15.814807876007634,17.377061948959977,19.331779225144164,15.51359696282125,12.10127861632219,8.205476606264526,-294.4383939,-418.4534088,-377.3030843,-426.8130979,-383.6905618,-435.979531,-307.4805363,-429.6840166,-806.8556616,-944.3199198,-877.9757339,-935.2541298,-839.4704668,-677.2769319,126.07879392884868,71.00460596950617,138.08769933973554,26.647097356238323,151.11104331745025,207.45644378211207,84.61611114489519,484.0331397400741,1248.8156435424658,330.75369788094036,1620.190104875774,932.5571491565005,313.94029164898694,564.5049038215404,110111,·¿É½Çø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,9,2026-06-02 20:26:54,
10,00000000000000000adf,-133.5429282,-325.6280598,-347.5886757,-422.6941689,-363.5526918,-442.5936476,-464.5570342,-421.8720981,-478.6997786,-682.188749,-669.9690707,-586.2251396,-597.2466401,-482.4336906,Mentougou,0.7489391749015515,5.5203868151037785,8.093749004899465,10.819619650158273,16.81038354455913,17.933649878148778,22.606809975581058,23.269642446768408,21.436671911204012,22.91910229268895,23.91777273037704,21.450553625078175,19.13097791667404,15.85973591885183,5.029599474438211E9,5.921095091042142E9,5.911995408562436E9,6.456678978733732E9,5.420843412885419E9,6.707402419005143E9,6.663121334587257E9,5.522647371854296E9,4.497737429638439E9,5.511023348739006E9,5.10371634473804E9,4.56320675754797E9,4.823621225387154E9,4.490327752324131E9,1.6318282629291483,6.815484413263354,8.70891735232139,11.093892850383059,16.87423055794456,17.66201987452968,22.63278919895014,22.5961524665112,21.079132050076993,22.78485784236313,23.68183495548161,20.921892718883022,18.41799216512474,15.107518037465535,13.190127878228358,18.56967369048196,21.486098119947673,31.04161746727588,31.60509015620984,29.558761949107502,33.19604472093624,32.11537702113024,28.743340008739597,31.033847702089187,31.80230894127994,30.099131222320707,27.460592802856215,24.683268844541722,-6.020651174,-5.488111787,-2.680828672,-1.663510264,7.431565958972843,6.534296604046631,11.348924946098192,14.970805175216134,14.191830595040049,15.59765870600573,17.57677009095873,14.018725512155314,10.965601378703829,6.80430320771145,-241.3242651,-466.4174876,-473.1915064,-571.3811293,-522.8369479,-642.0943081,-651.3616972,-663.9699976,-791.6952572,-989.1469637,-948.754334,-888.3988886,-820.1326342,-674.9467575,148.68887635152765,98.24047984382868,176.42925343146516,36.61881593982571,137.53194837355986,291.60354887185616,151.10424168275472,684.0167028566512,1452.3541944308636,619.7244108763603,1691.155766334489,1046.8548386885273,365.9120208885839,683.1589044845759,110109,ÃÅÍ·¹µÇø,110000,±±¾©ÊÐ,110000,±±¾©ÊÐ,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2020_2020.csv,ERA5_Land_SemiMonthly_2020_2020,10,2026-06-02 20:26:54,
