id,system_index,evaporation_from_bare_soil_sum_201903010315,evaporation_from_bare_soil_sum_201903160331,evaporation_from_bare_soil_sum_201904010415,evaporation_from_bare_soil_sum_201904160430,evaporation_from_bare_soil_sum_201905010515,evaporation_from_bare_soil_sum_201905160531,evaporation_from_bare_soil_sum_201906010615,evaporation_from_bare_soil_sum_201906160630,evaporation_from_bare_soil_sum_201907010715,evaporation_from_bare_soil_sum_201907160731,evaporation_from_bare_soil_sum_201908010815,evaporation_from_bare_soil_sum_201908160831,evaporation_from_bare_soil_sum_201909010915,evaporation_from_bare_soil_sum_201909160930,name,soil_temperature_level_1_201903010315,soil_temperature_level_1_201903160331,soil_temperature_level_1_201904010415,soil_temperature_level_1_201904160430,soil_temperature_level_1_201905010515,soil_temperature_level_1_201905160531,soil_temperature_level_1_201906010615,soil_temperature_level_1_201906160630,soil_temperature_level_1_201907010715,soil_temperature_level_1_201907160731,soil_temperature_level_1_201908010815,soil_temperature_level_1_201908160831,soil_temperature_level_1_201909010915,soil_temperature_level_1_201909160930,surface_solar_radiation_downwards_sum_201903010315,surface_solar_radiation_downwards_sum_201903160331,surface_solar_radiation_downwards_sum_201904010415,surface_solar_radiation_downwards_sum_201904160430,surface_solar_radiation_downwards_sum_201905010515,surface_solar_radiation_downwards_sum_201905160531,surface_solar_radiation_downwards_sum_201906010615,surface_solar_radiation_downwards_sum_201906160630,surface_solar_radiation_downwards_sum_201907010715,surface_solar_radiation_downwards_sum_201907160731,surface_solar_radiation_downwards_sum_201908010815,surface_solar_radiation_downwards_sum_201908160831,surface_solar_radiation_downwards_sum_201909010915,surface_solar_radiation_downwards_sum_201909160930,temperature_2m_201903010315,temperature_2m_201903160331,temperature_2m_201904010415,temperature_2m_201904160430,temperature_2m_201905010515,temperature_2m_201905160531,temperature_2m_201906010615,temperature_2m_201906160630,temperature_2m_201907010715,temperature_2m_201907160731,temperature_2m_201908010815,temperature_2m_201908160831,temperature_2m_201909010915,temperature_2m_201909160930,temperature_2m_max_201903010315,temperature_2m_max_201903160331,temperature_2m_max_201904010415,temperature_2m_max_201904160430,temperature_2m_max_201905010515,temperature_2m_max_201905160531,temperature_2m_max_201906010615,temperature_2m_max_201906160630,temperature_2m_max_201907010715,temperature_2m_max_201907160731,temperature_2m_max_201908010815,temperature_2m_max_201908160831,temperature_2m_max_201909010915,temperature_2m_max_201909160930,temperature_2m_min_201903010315,temperature_2m_min_201903160331,temperature_2m_min_201904010415,temperature_2m_min_201904160430,temperature_2m_min_201905010515,temperature_2m_min_201905160531,temperature_2m_min_201906010615,temperature_2m_min_201906160630,temperature_2m_min_201907010715,temperature_2m_min_201907160731,temperature_2m_min_201908010815,temperature_2m_min_201908160831,temperature_2m_min_201909010915,temperature_2m_min_201909160930,total_evaporation_sum_201903010315,total_evaporation_sum_201903160331,total_evaporation_sum_201904010415,total_evaporation_sum_201904160430,total_evaporation_sum_201905010515,total_evaporation_sum_201905160531,total_evaporation_sum_201906010615,total_evaporation_sum_201906160630,total_evaporation_sum_201907010715,total_evaporation_sum_201907160731,total_evaporation_sum_201908010815,total_evaporation_sum_201908160831,total_evaporation_sum_201909010915,total_evaporation_sum_201909160930,total_precipitation_sum_201903010315,total_precipitation_sum_201903160331,total_precipitation_sum_201904010415,total_precipitation_sum_201904160430,total_precipitation_sum_201905010515,total_precipitation_sum_201905160531,total_precipitation_sum_201906010615,total_precipitation_sum_201906160630,total_precipitation_sum_201907010715,total_precipitation_sum_201907160731,total_precipitation_sum_201908010815,total_precipitation_sum_201908160831,total_precipitation_sum_201909010915,total_precipitation_sum_201909160930,Code,县名,市代码,市名,省代码,省名,geo,_source_file,_sheet_name,_row_number,_created_at,_table_description
1,00000000000000000a79,-71.76796216,-150.655263,-187.9609327,-224.2875757,-404.9734505,-426.3973435,-390.7347059,-344.7348783,-464.4555385,-663.4149873,-384.7439207,-726.0309948,-504.7268151,-450.0282887,Miyun,1.2594786727832403,4.189299362337568,7.918760068492679,11.997810548883539,16.566652280695248,20.123582274699405,22.705379104152215,25.314717995744875,23.995153603300373,25.858241489230657,23.656928296007475,21.486167733220004,22.07421214993182,19.208329367126233,4.905128699829443E9,5.730850036779189E9,5.733304632683274E9,5.28715718006769E9,6.675867414929834E9,6.856300661082496E9,6.238459664523906E9,5.777495395544582E9,5.625272842206971E9,5.526174020698289E9,3.7247449552964673E9,6.045255041336605E9,5.114724592797267E9,5.238101373410115E9,4.464996999584043,6.601322081736502,10.078078665723774,12.402364452694584,17.819556180958365,20.790779382988152,22.767944306841585,24.929153896521722,23.86439400743873,26.308417597122776,23.64814815938996,21.98381826568304,22.222703382775258,19.803125528372192,13.92401514845276,19.995357065084036,24.978857117774346,24.803951078740347,27.001339347441334,33.81902688520307,32.064607685449424,34.649436746157996,35.44399175491938,34.575258921761005,29.685580890759848,29.02921445194139,33.00642753284946,28.32819812136638,-3.740519762,-2.651402846,-0.61385905,1.8264137492046513,4.707761246748909,7.86612774651038,14.907549066900375,14.841645205042925,15.383795458341382,19.270708241468327,17.037442973443618,13.93509850977974,11.87119585052272,10.171792264649445,-149.1554779,-259.5687715,-275.4098467,-403.5112798,-613.4240084,-745.5519902,-635.3591016,-603.3516744,-838.4204315,-1039.31755,-781.0925056,-1045.106822,-745.7680068,-646.5425429,13.065639285723325,104.84490008679745,15.297436569332046,391.3660325455007,21.744448377942103,461.62828788574285,194.91300623370532,175.1960750732375,1211.4914844648397,1055.3369855946924,1474.7059264079755,115.42566219510344,376.8293491348719,8.526944528478916,110118,密云区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,1,2026-06-02 20:23:31,
2,00000000000000000a7b,-51.77649421,-156.1474025,-217.4714735,-272.5417388,-516.9090272,-590.3137203,-526.9183116,-508.9165994,-533.0097229,-698.7708997,-445.5689517,-838.8440032,-598.002324,-552.3979939,Yanqing,0.27449163984232255,2.5038179050842855,5.654064570344249,9.769094816756098,13.603713435290121,17.57355452763496,20.395696940244914,22.321222408924342,21.543565231718233,23.730392806205064,21.92352315577152,19.55880861114491,19.85262505191069,17.374294153468213,4.858817810471335E9,5.778048332587744E9,5.665986634695632E9,5.371730313232932E9,6.601567056507662E9,7.040890902303725E9,6.479164451712332E9,5.670805400744585E9,5.619063467553083E9,5.318694872125205E9,3.8468838909612303E9,6.107474074965361E9,5.063009161152964E9,5.268137906040846E9,2.6567999366008546,4.731284586900614,8.089517833959905,10.598150565645028,15.074621330308407,18.517875769321204,20.737759092968926,22.46761971073869,21.57709958515261,24.260271403125635,21.772433567177554,19.802299160914302,19.99438578942732,18.01527670698524,12.424606736005195,18.6508499327527,23.37517187181889,24.097785030931373,24.993035429424072,32.87656183017027,30.00045682389403,31.973956843764896,33.029183122673764,33.936104268567426,28.238709004066674,27.2991689076094,30.944527856606634,26.523614350737404,-4.519222461,-3.818399051,-2.391679617,-0.135600293,1.4032454562244303,5.309776580300915,11.356496108109914,12.832755560550304,13.147092515452258,15.984774879963839,15.175972578245098,10.976680670626404,9.236023171561927,7.7235328180065155,-130.589067,-264.4187195,-316.7706634,-437.4984596,-692.0118559,-858.1345491,-745.760307,-748.0305647,-891.1862105,-1001.541887,-760.4295937,-1078.037695,-802.4143994,-701.1685135,49.840987585355464,78.92734543490232,37.858505323386204,514.6495978765349,82.34644142179594,542.2315620587026,252.76353268098072,288.22697468220525,1332.9873186493398,1634.1238669418717,1484.2025736530666,244.45474591663043,547.8032555374141,12.848639076232862,110119,延庆区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,2,2026-06-02 20:23:31,
3,00000000000000000a7c,-71.32073452,-169.4645968,-226.4972059,-279.6923575,-520.9424178,-597.0943687,-563.4168553,-526.1852613,-576.8748368,-743.8842496,-469.4787848,-873.2354042,-615.5283,-562.2240837,Huairou,0.7117150439936198,3.24960981807468,6.643043626845809,10.598799797165967,14.536444035359125,18.233110124019202,20.825059214475544,23.09596986019506,22.18908197221891,24.443385251886376,22.47612646208718,20.1836307501876,20.575691049543366,17.935656155806953,4.848639444768537E9,5.726002273220931E9,5.651654291651837E9,5.327086466977798E9,6.611600321375065E9,6.928361090240377E9,6.375380774888819E9,5.700106713682787E9,5.606864468654318E9,5.400432569922907E9,3.8215319691867485E9,6.079305616893174E9,5.081036869442538E9,5.248904111055847E9,3.0881536316857376,5.067477714560783,8.54673678294267,11.215532972839956,15.827561573612623,19.000220844983637,21.17036620575955,23.172287290158753,22.182475457699105,24.91788585613484,22.383445040728265,20.384010920641533,20.599196913151758,18.26330748509029,12.950167948174702,19.106035591031187,24.310977840274152,24.180066596550475,25.786293208597037,33.331521595817584,30.72122543311051,33.097722253097025,33.772078170656826,33.72603904834386,28.59049031508214,28.16779863376476,31.82213668597405,27.207859302476265,-4.754851918,-3.817062195,-1.951312898,0.5380029927100677,2.4740006781778723,5.9062841969044735,12.301790208001202,13.620462873067982,13.884153200495291,16.81340268583597,15.838231700782323,12.007859179194392,10.094934823316688,8.330067602998204,-149.35823,-278.8052255,-322.3992677,-446.3270774,-685.1686264,-865.3990932,-778.9547919,-757.722232,-923.4873767,-1055.482455,-800.9576439,-1110.372547,-811.747954,-709.8004073,35.65008198965551,107.3823838447127,28.38678177357835,443.7885102866165,51.74286748146563,617.0836133598859,287.8701364321946,280.6554615909684,1249.9918136709719,1606.987628344207,1644.6831345859391,165.9835197747971,473.3220819010003,5.712766984012482,110116,怀柔区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,3,2026-06-02 20:23:31,
4,00000000000000000a7d,-114.1936897,-184.5394298,-202.4286428,-247.3726941,-424.5046534,-384.9272249,-308.235456,-284.126513,-488.9459994,-783.3558928,-413.5377904,-845.6526067,-564.4845153,-496.0630258,Pinggu,2.3096408856686574,5.949229290380751,10.13986407223934,13.750449152095516,17.97016166481271,21.70085358643502,24.418519637175887,26.776451604736597,25.188084646094392,26.707824098541124,24.21882965145356,22.09156806426393,22.956516773426774,20.127407676924683,4.956613623801486E9,5.782993122786862E9,5.798678331672478E9,5.282940881567572E9,6.712516380796394E9,6.881103098405337E9,6.112298071879234E9,5.937377872071512E9,5.684683164126773E9,5.713111223431736E9,3.617447627578014E9,6.077448320069936E9,5.107933370466705E9,5.235238998736737E9,5.022793965447759,7.218015979887525,10.93667456447608,13.395608068729544,18.724385927162167,21.781190642403864,23.72299166346141,25.679744870194618,24.519408642002727,26.97347365815983,24.218594849906207,22.46438803410402,22.696068046736322,20.282948041795265,14.932043707135929,21.24928026853162,25.571516903034826,26.252657643371546,28.0239741596676,34.912918269981844,33.36957784401705,35.741925243621196,36.95389650553771,34.859357425338004,30.11975813580839,29.50905669131931,33.610749834930935,28.811391464004956,-4.589915488,-3.169519039,-0.865834237,2.3207171813628387,5.647320210341888,9.79076502013152,16.20010245393074,15.637735646686016,16.884705051575448,19.05194728361332,18.382299345360696,14.867540152379169,13.961770437494632,12.276564762966215,-200.6094045,-303.1620034,-280.9910317,-420.4011809,-582.8027101,-622.1256586,-491.7562294,-495.9526304,-813.285121,-1104.988187,-799.0648796,-1117.581995,-755.6257019,-659.6307725,44.338007126677866,93.12080320869275,16.176180363689294,434.958165607822,13.159685154298787,274.25825000393877,208.7212560223178,227.48729248844575,1268.5163008873626,806.2968533821165,1882.063167858661,94.91450138309888,355.52227115095945,13.530453478857565,110117,平谷区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,4,2026-06-02 20:23:31,
5,00000000000000000a7f,-117.0212012,-185.1597916,-194.945476,-239.8687963,-390.6386099,-394.3972387,-283.5784791,-271.4401091,-457.6720717,-664.3057645,-417.9264398,-786.8841091,-523.5657187,-510.3866666,Changping,2.7000096705367556,6.7169100785950695,10.618838127489928,13.862712276051054,17.845333500125665,21.501733870007335,24.65619253590341,26.70208670075287,25.25544026196415,26.513340044495866,24.35397949202379,22.215627418277414,22.954060095690906,19.866020457605497,4.873503505731655E9,5.84351274886993E9,5.771307038426264E9,5.3151567366480255E9,6.610295471029344E9,7.029602364813035E9,6.331624621262496E9,5.820420006533969E9,5.720687661293358E9,5.436798675534039E9,3.7620710174052057E9,6.139079587631387E9,5.116662702451602E9,5.293705143670785E9,4.653505016363052,7.299414459170689,10.88786976983497,13.330510916515728,18.13239161937879,21.68710540395578,23.8943267774977,25.680791645634905,24.394275821153485,26.543633526824458,24.067208329296044,22.35377935937669,22.55608628696853,19.97757520508575,15.252350011960957,21.42586527911054,27.172281271474418,26.504429623515087,28.520284887533524,35.87959719207269,33.97646911250267,35.689009379524144,37.06314843574702,35.66767050451551,30.219068637733095,30.101311501558584,34.172117815752536,28.86588660332093,-4.061469344,-3.14922972,-0.526270007,2.966511688611702,4.698645041443921,8.691835778380478,14.681968790521571,15.677130856812928,16.211132335478503,18.37342318935444,18.332009297739393,13.784300319162819,12.241590374406965,10.708707679763306,-233.3975551,-318.8283122,-274.2230363,-464.2048603,-581.5527201,-734.4850879,-502.5055941,-503.0249241,-779.459882,-1057.258314,-791.4456939,-1148.233604,-770.8989597,-739.205574,70.31653325327966,73.53762478815028,14.463642811089663,516.0274011992756,36.114623913245616,415.4508097437693,213.11296574822683,134.95875171832748,1087.7696302366053,1115.2091466671034,1510.6632892530436,212.01113952368445,641.5941166385444,3.555472786912365,110114,昌平区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,5,2026-06-02 20:23:31,
6,00000000000000000a81,-117.4300848,-155.4013171,-149.7616147,-212.574705,-382.9317085,-331.7231225,-284.3174141,-245.538126,-459.4157138,-760.7552883,-565.1307035,-912.339025,-442.2135929,-330.3328469,Daxing,7.546482882422858,11.066627626532185,14.449512068565314,17.27105624095038,21.886204202703453,25.851655201427697,27.39938477987583,30.08654554810262,28.397772469663007,30.257549069167286,26.454532264869467,25.441347887363484,26.940757448869647,24.4143885008538,4.998358076320294E9,5.8956160155836115E9,5.8386944981001625E9,5.325163683448783E9,6.694141984873409E9,7.081203886587268E9,6.058446054113693E9,6.119846918970121E9,5.747231587592262E9,5.771323903331183E9,3.777010962514802E9,6.175555197762805E9,5.068802214038231E9,5.331621166549858E9,7.224224787173683,10.07507157619034,13.344255359383444,15.848766450011759,21.01914756284702,24.83888461874755,25.799567186730112,28.0980412116443,26.67912182191904,29.436671805436827,25.938313457287347,24.903895972935427,25.400612987655975,22.686782428809185,17.45331154631739,25.456458708974107,28.936015861336664,29.5362406482967,31.30808612395322,38.37355539118903,36.3172329670899,38.58926408118524,39.28017591427252,38.7152535856658,32.39254067251566,33.531690935217355,37.085762402485656,32.08563146954922,-4.131491172,-2.870052185,0.8613048283265075,3.760777459523937,6.691161382185365,10.34058291611568,16.95597939565753,17.355135765865526,18.50767212135769,20.027954178050457,21.1184041392877,16.323417809344726,15.970871075880664,14.346587402033384,-170.5136507,-232.3977951,-197.5733548,-331.0481265,-468.1727808,-457.1653358,-419.2420439,-373.7579289,-666.7985162,-977.1830978,-852.4486717,-1063.37069,-543.3343129,-399.4306578,40.98782404967307,77.87624842733386,21.541878531700153,419.2414609423072,17.206055479457486,239.17909647820414,232.96556825192022,77.25985509049067,651.0508012454189,756.7014425557569,1555.6132307829926,102.43341640466268,224.91924352533016,0.7780762978433793,110115,大兴区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,6,2026-06-02 20:23:31,
7,00000000000000000a82,-147.1926128,-197.8508183,-194.7439999,-255.3566288,-436.2018899,-408.4893526,-299.4259774,-242.7535521,-549.9310408,-895.5513659,-550.7384172,-1068.788072,-616.159623,-508.1049134,Tongzhou,7.058887046274473,10.594075251864092,14.193678566078097,16.97361924362743,21.707294248881063,25.338234160782626,27.35655850937546,30.149376212226205,28.013417315242478,29.597347473582346,26.140010413187934,24.585037337650125,25.91824353701127,23.4354796163277,4.990471317537656E9,5.885673082634649E9,5.83553834075345E9,5.308085591471897E9,6.697511566689225E9,7.007761872332589E9,6.059930119551237E9,6.109072259123581E9,5.770372817329749E9,5.770149894214793E9,3.6697513197896714E9,6.148267521279729E9,5.073453212622971E9,5.30762135273337E9,7.106631878719307,9.786330903660103,13.258626881719135,15.725699109054123,21.137430691960013,24.584105058562873,25.848950842655235,28.17358032545848,26.52930712128806,29.099162147571718,25.751362352798008,24.333782974156637,24.77629094529824,22.09496860091318,17.48087998427356,25.473017781740683,29.007937186104936,29.64145769020182,31.35631942377464,38.30754945432987,36.5399204006443,38.859573602057154,39.76396413530624,37.94877806824526,32.03337088745912,32.41016760987123,35.998517559101074,31.82249696781111,-4.686576506,-3.103815404,0.8811192475356291,3.426251624466559,6.6211976286653025,11.046560376650351,16.712730484504227,17.340094290151253,18.61767004310313,20.1559814998082,20.578267075179475,15.95639218540937,15.833134777514987,13.924431673272885,-203.5438282,-281.6584564,-234.7765384,-375.5130878,-518.9757456,-549.7349089,-426.3671936,-358.884188,-772.143894,-1100.472571,-861.4547776,-1220.284841,-725.783761,-585.0429537,56.542436974029926,85.80556885894272,10.236098091609334,411.62677298274593,19.771545199111106,301.1279796489861,232.34335421157454,101.42378207077617,903.5434672098977,781.2864007419698,2171.564807887565,105.51441068160376,291.2018122756431,0.09156754592083687,110112,通州区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,7,2026-06-02 20:23:31,
8,00000000000000000a83,-141.1418751,-195.1418651,-182.8837489,-257.0897866,-415.2989367,-369.1043219,-251.9092995,-205.3583801,-536.7399893,-844.5128072,-501.1519433,-931.6266143,-568.0250824,-547.1833295,Shunyi,4.077005556636071,8.409595990111399,12.617405786072483,15.652323870818048,19.93811709876978,23.75016739338334,26.61417890523391,29.257399094695796,27.012480707789734,28.199962971532745,25.46840562761755,23.462941360914034,24.6912351293785,21.440033902834774,4.905675987757662E9,5.830845113257466E9,5.796739456924836E9,5.286891729039085E9,6.644701262926932E9,6.951743328320609E9,6.188745601950529E9,5.951313741524054E9,5.783768054618988E9,5.637144232867803E9,3.6735475895453725E9,6.11233460783063E9,5.11583939782316E9,5.277178161296597E9,5.86248486243597,8.518387503155866,12.41227566552537,14.78136418017907,19.98172512629069,23.319436712700767,25.40348501795522,27.55168656267951,25.875855472121255,28.09710283937465,25.31883678417761,23.451160715921684,23.819257726443965,20.949108067553727,17.044615845082475,23.336486273673835,28.701071638546626,28.101346093225086,30.22678765833554,37.30559181902919,35.52839069199634,38.11699290817753,39.20709819293233,36.432391344076024,31.145337943919575,31.36246816562844,35.69571184430806,30.15114368516574,-4.771008481,-3.332848705,0.5307023985393073,3.619958273662445,5.976242690461741,9.661109020133084,16.657545842651746,17.07256118841146,17.91093581841919,20.341851728789685,19.34336599121986,15.221021854634213,13.457589632707178,12.569342957432719,-211.8992707,-292.7431852,-227.9675596,-421.2232225,-532.5975797,-584.7893651,-409.2222375,-352.9038224,-798.276023,-1116.279862,-834.3339244,-1163.757382,-721.8000186,-681.2529153,52.99687822980226,86.14811186235228,4.8253263318144395,461.4722987126923,11.967948007160393,291.384326561985,246.2707307173035,112.01476971648664,958.2818887306205,826.2274984464984,1638.2225942540583,128.53174646295295,457.2723159589257,0.7643506831486211,110113,顺义区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,8,2026-06-02 20:23:31,
9,00000000000000000a84,-119.4098588,-184.0669058,-178.1918902,-253.2060442,-449.8727434,-380.5784922,-266.0359294,-300.0599499,-434.2208207,-759.1185608,-513.3686242,-869.8426611,-481.0009295,-422.1520767,Fangshan,3.604776655086599,7.542086570065626,11.190696162427173,14.393456191640892,18.370927154172975,22.829049055782043,24.775526778277943,26.677300995276227,25.576157503524787,27.049157510461814,24.607133809289135,22.85324448185324,23.793827735846047,21.29555740996958,4.891984377346988E9,5.823069466452009E9,5.807510007770386E9,5.303619567967227E9,6.560213342301899E9,7.140914009179121E9,6.128991736408127E9,5.926065243540116E9,5.703689951490275E9,5.583055457129793E9,3.970533384200066E9,6.175457741334347E9,5.051840797939547E9,5.294873649727582E9,4.668052757278544,7.704098511577432,10.84366594341562,13.437151141888341,18.084663003270357,22.21447204567624,23.480870722715814,25.321722072510084,24.224335675913228,26.638775165140228,24.06826679948809,22.400276052527637,22.659888748950085,20.308090469577362,14.813840142887356,22.039412744999048,26.858198829595263,26.491792612698305,28.144276300091086,35.52458280581549,33.877365266975815,34.471282143393985,35.65076857952623,34.96265758587891,30.10839138940629,31.004971957273643,34.275119291940165,29.001237928691236,-4.989865909,-3.84094757,-1.207618709,2.929274032190424,4.208269678090542,8.221297045469262,14.91561778125441,15.815692377812823,15.93060234017033,17.734399023104213,18.62826903132564,13.849504869845267,12.965541197372131,12.048711771240031,-200.098286,-295.0999396,-257.7862449,-446.1353449,-587.5539246,-585.8645623,-449.4698461,-516.0105561,-708.1589669,-1078.408495,-855.2447637,-1098.953745,-647.1224952,-553.899469,74.17482189344516,98.03845009865398,33.3906175740798,632.9929096079545,21.507219845200737,321.256734998211,239.75369149717017,151.66958290510763,854.8270817686087,1172.1195386523223,1322.6334193994226,250.12415409394507,370.7472296284018,26.661960247597598,110111,房山区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,9,2026-06-02 20:23:31,
10,00000000000000000adf,-103.7727262,-214.3858278,-247.3907769,-301.945659,-541.0965253,-546.4976986,-443.9313305,-437.7589599,-520.082257,-722.5778703,-449.4813775,-891.9853944,-592.5734259,-567.7621144,Mentougou,1.3411883802026028,4.1745865095135795,7.5206081484570575,11.427213085716991,15.046185879910135,19.37917507221355,21.649088716790526,23.6863033762141,22.658049711027854,24.69741484906302,22.719651003586137,20.664194047892686,20.990681272976946,18.528017708107377,4.874221234909075E9,5.831135118852331E9,5.770122556247751E9,5.330437620823815E9,6.547881754783821E9,7.140666344735856E9,6.295493672776751E9,5.818683454430042E9,5.676141871387474E9,5.445435912688915E9,3.926341588317065E9,6.182409427074267E9,5.07149997127437E9,5.290414888863905E9,2.9976912023599325,5.597951324748033,8.716318486322214,11.707569503260856,15.700703518260976,19.799196133267046,21.605512196733265,23.367079810590514,22.197208667575616,24.783554166629163,22.34144277603171,20.39789761833054,20.602489984248223,18.287485175008566,13.187257632502831,20.154931161825576,24.18441708411702,25.904163701249765,26.222892560291704,33.90194665571301,31.328984094941593,32.02856363995088,33.73163313061124,33.79675147288133,29.17886922310412,27.945267778561462,31.48419896977431,26.579100042900453,-5.148955978,-4.303757182,-2.108093055,1.3461687723795803,2.6772817949208925,7.186658477783227,12.866090918960909,14.06280160754799,14.778207161985822,16.802147939077642,16.259797342716446,12.373790155418638,11.592102312943592,9.772946270601274,-196.4420402,-340.0401221,-339.766026,-496.4882802,-696.2645167,-775.2979262,-665.2654537,-644.1656121,-803.0302781,-1043.915099,-816.2003289,-1110.148508,-785.1079199,-704.4360072,128.5957199002835,128.37084564371943,33.88876247889144,727.1711591967485,37.878632028804674,377.3444790336107,270.9959670855888,180.25760667076264,1022.9817576233999,1519.0525157904494,1697.7922806533402,232.43944968338388,575.7321539551133,15.50003401536944,110109,门头沟区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}",../data_20260601/产能研究室_1/气象数据/ERA5_Land_SemiMonthly_2019_2019.csv,ERA5_Land_SemiMonthly_2019_2019,10,2026-06-02 20:23:31,
