system:index,evaporation_from_bare_soil_sum_201503010315,evaporation_from_bare_soil_sum_201503160331,evaporation_from_bare_soil_sum_201504010415,evaporation_from_bare_soil_sum_201504160430,evaporation_from_bare_soil_sum_201505010515,evaporation_from_bare_soil_sum_201505160531,evaporation_from_bare_soil_sum_201506010615,evaporation_from_bare_soil_sum_201506160630,evaporation_from_bare_soil_sum_201507010715,evaporation_from_bare_soil_sum_201507160731,evaporation_from_bare_soil_sum_201508010815,evaporation_from_bare_soil_sum_201508160831,evaporation_from_bare_soil_sum_201509010915,evaporation_from_bare_soil_sum_201509160930,name,soil_temperature_level_1_201503010315,soil_temperature_level_1_201503160331,soil_temperature_level_1_201504010415,soil_temperature_level_1_201504160430,soil_temperature_level_1_201505010515,soil_temperature_level_1_201505160531,soil_temperature_level_1_201506010615,soil_temperature_level_1_201506160630,soil_temperature_level_1_201507010715,soil_temperature_level_1_201507160731,soil_temperature_level_1_201508010815,soil_temperature_level_1_201508160831,soil_temperature_level_1_201509010915,soil_temperature_level_1_201509160930,surface_solar_radiation_downwards_sum_201503010315,surface_solar_radiation_downwards_sum_201503160331,surface_solar_radiation_downwards_sum_201504010415,surface_solar_radiation_downwards_sum_201504160430,surface_solar_radiation_downwards_sum_201505010515,surface_solar_radiation_downwards_sum_201505160531,surface_solar_radiation_downwards_sum_201506010615,surface_solar_radiation_downwards_sum_201506160630,surface_solar_radiation_downwards_sum_201507010715,surface_solar_radiation_downwards_sum_201507160731,surface_solar_radiation_downwards_sum_201508010815,surface_solar_radiation_downwards_sum_201508160831,surface_solar_radiation_downwards_sum_201509010915,surface_solar_radiation_downwards_sum_201509160930,temperature_2m_201503010315,temperature_2m_201503160331,temperature_2m_201504010415,temperature_2m_201504160430,temperature_2m_201505010515,temperature_2m_201505160531,temperature_2m_201506010615,temperature_2m_201506160630,temperature_2m_201507010715,temperature_2m_201507160731,temperature_2m_201508010815,temperature_2m_201508160831,temperature_2m_201509010915,temperature_2m_201509160930,temperature_2m_max_201503010315,temperature_2m_max_201503160331,temperature_2m_max_201504010415,temperature_2m_max_201504160430,temperature_2m_max_201505010515,temperature_2m_max_201505160531,temperature_2m_max_201506010615,temperature_2m_max_201506160630,temperature_2m_max_201507010715,temperature_2m_max_201507160731,temperature_2m_max_201508010815,temperature_2m_max_201508160831,temperature_2m_max_201509010915,temperature_2m_max_201509160930,temperature_2m_min_201503010315,temperature_2m_min_201503160331,temperature_2m_min_201504010415,temperature_2m_min_201504160430,temperature_2m_min_201505010515,temperature_2m_min_201505160531,temperature_2m_min_201506010615,temperature_2m_min_201506160630,temperature_2m_min_201507010715,temperature_2m_min_201507160731,temperature_2m_min_201508010815,temperature_2m_min_201508160831,temperature_2m_min_201509010915,temperature_2m_min_201509160930,total_evaporation_sum_201503010315,total_evaporation_sum_201503160331,total_evaporation_sum_201504010415,total_evaporation_sum_201504160430,total_evaporation_sum_201505010515,total_evaporation_sum_201505160531,total_evaporation_sum_201506010615,total_evaporation_sum_201506160630,total_evaporation_sum_201507010715,total_evaporation_sum_201507160731,total_evaporation_sum_201508010815,total_evaporation_sum_201508160831,total_evaporation_sum_201509010915,total_evaporation_sum_201509160930,total_precipitation_sum_201503010315,total_precipitation_sum_201503160331,total_precipitation_sum_201504010415,total_precipitation_sum_201504160430,total_precipitation_sum_201505010515,total_precipitation_sum_201505160531,total_precipitation_sum_201506010615,total_precipitation_sum_201506160630,total_precipitation_sum_201507010715,total_precipitation_sum_201507160731,total_precipitation_sum_201508010815,total_precipitation_sum_201508160831,total_precipitation_sum_201509010915,total_precipitation_sum_201509160930,Code,县名,市代码,市名,省代码,省名,.geo
00000000000000000a79,-29.02624222,-162.782472,-206.5203158,-321.4957961,-324.4790057,-443.7572888,-406.0156027,-373.5619434,-425.4700535,-370.7171551,-679.3869809,-518.9739564,-437.4355298,-380.1936522,Miyun,-0.299903681,5.42416027750683,7.103483717843577,14.46686120436696,14.871950092666603,21.060169013945337,20.765959014861423,22.386037980977687,25.339862581687754,23.743989694309985,24.641429989620146,22.47864002960561,18.61853250284798,17.574541330354513,5.342062913497587E9,5.6900034641690445E9,5.5371401608124485E9,6.149645629183484E9,5.817153535235488E9,7.163975617331823E9,5.812013531491487E9,5.103497116026757E9,6.462970031783175E9,4.364182305358203E9,5.66368365431748E9,5.235846541151107E9,4.2229712895152674E9,4.347599989251108E9,1.1930047018703438,8.29059921226221,7.784890965866614,16.272108340343852,14.606478631824633,21.55376978330909,20.70868211824551,22.126056680500106,24.9067410022359,23.404795313660223,24.916994039991494,21.912297286706423,18.67634377164838,17.585804925273163,12.232938985915801,19.41358333306714,22.75259004339161,29.40262438424223,26.940987928800403,32.561517180398205,31.584258732686152,29.772060770189363,36.79106666323046,31.705161150116567,31.97046316857509,32.001072852344784,27.537669515649764,26.017001164613475,-7.064477039,-2.674559657,-2.321829802,2.5584833435355763,5.2539202227606285,9.147731460650663,11.828894204746238,13.121982623994466,13.417593581403336,18.92001890461832,16.4267025102047,15.736014119548086,10.071383575864399,9.11171792831385,-95.55671185,-271.9807438,-364.3219556,-493.0988773,-595.2541428,-686.7336663,-732.1133919,-701.3812416,-651.5218546,-814.3765515,-989.5443154,-885.4040489,-700.5759756,-628.9235029,3.4614522701700823,50.33694165323288,311.2087307453959,46.19080287309159,556.7271463986204,89.70518037844822,732.3262919916505,476.23103638758164,61.57555171552057,2063.677571778241,199.079563352246,1255.6121153305426,687.8015843326352,603.8745657116708,110118,密云区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7b,-12.76063924,-170.2074251,-248.3909323,-411.9226042,-401.5639743,-570.5688776,-470.3772017,-441.758179,-540.2950875,-397.6877182,-767.2332965,-558.5280962,-439.6874881,-428.2665161,Yanqing,-0.953889923,3.2581781971685886,5.142900993000382,12.027495832671315,12.22120961156033,18.422835103965458,18.292502763209644,20.136104417908644,22.509386311653692,21.642488808397804,22.54324064608895,20.5917450137349,16.56870746446484,15.705839995690782,5.336659061524128E9,5.738011846350761E9,5.526607452816755E9,6.230713889297395E9,5.877042212868737E9,7.245959305283032E9,5.758116165316158E9,5.1683923506742525E9,6.125644957388328E9,4.347709911643879E9,5.760682842501053E9,5.3913361407575245E9,3.980718554514314E9,4.322347814716629E9,-0.453008234,6.536223571706086,6.057308835775759,13.754045850775915,11.910180052222072,19.383773675390604,18.236867943540563,20.094053777798006,22.393472417802492,21.300535046199027,22.626526030386607,19.749078719191804,16.335257911056026,15.284663263233359,11.644292688676057,16.85446883698828,23.09791447441171,27.27505744462235,26.709071112352916,30.53875861347303,29.286103763394824,27.36273753529714,34.480532424151086,29.42172969958832,31.443374027245916,29.607262015872156,25.21938696105365,24.13205948870082,-9.805338693,-3.523812567,-3.346588229,-0.281933049,2.1470848902581623,7.60616141165436,8.416182554304173,11.43859003703735,11.406920007295117,16.556304955163096,13.772906915864564,13.606845060850137,7.546168008693383,6.73480278486988,-61.1477858,-278.0410301,-386.5834158,-567.8194785,-612.1130765,-761.8052771,-725.1562769,-746.3306856,-752.4171732,-819.2731117,-1012.571871,-928.1200275,-677.5373123,-631.4832658,5.825675759571408,53.2419857053124,311.1401383428574,45.767712655651785,548.04609584376,129.06825571430596,686.3669566142498,703.8918729231635,212.17867608336695,2304.256021276781,335.8468722485679,1357.1308526813964,1355.3869250483845,697.5484673274332,110119,延庆区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7c,-29.1470721,-181.8532708,-250.7471567,-420.9184625,-418.6522381,-576.5149579,-489.8134144,-446.9288413,-530.6361253,-404.6821148,-829.9165403,-637.3640953,-497.2207375,-452.6587967,Huairou,-0.777162712,4.214958668621399,5.919838019316083,12.975138914274439,12.99745771505612,19.313245913774782,19.147391467070815,20.98634249224661,23.714263973080865,22.296889325977382,23.05427333315101,21.105791081527983,17.27038302459127,16.286158567710558,5.316274518296146E9,5.704862317059403E9,5.478774584264669E9,6.191914924356694E9,5.829425225803021E9,7.1761334953356695E9,5.767258899560073E9,5.136689839986854E9,6.306132835207949E9,4.2762895957788606E9,5.723564672339631E9,5.358558829910194E9,4.117160918755833E9,4.3392814408977375E9,-0.054258293,6.968369689834049,6.627812838341707,14.45523540290103,12.70786539602096,20.053766836307314,19.041220562187878,20.87598568295293,23.52593006709938,21.976179858600354,23.19551133097845,20.41977617677682,17.06759564010431,15.956290542526151,12.165618717938232,18.08940969630235,22.599216163737566,28.553792818452415,26.35062405072958,31.773076328740576,30.376910650674105,28.627942992909016,35.68668180104025,30.196223127420595,31.052400633957944,30.523923389475353,26.228642450698324,24.89794433476847,-8.768412247,-3.453263156,-3.41397315,0.2378759284188247,2.7292564369506103,8.002870787989714,9.151802892749721,12.355472392129233,12.096669601235867,17.07864211379871,14.272450452695319,14.25607341199768,8.12738651871455,7.260332027636587,-82.07068214,-297.1321783,-399.0770793,-572.5540839,-623.7426979,-755.9632616,-748.3426117,-737.4038989,-707.1299477,-832.0631189,-1071.731478,-985.783485,-728.6835093,-664.0413363,4.322315636979123,72.52293436445039,373.92055397310213,37.39262820000953,526.0323738919676,113.52589071594119,680.8499032954414,611.1888468532816,112.72337932082445,2777.6458054414607,307.41367924590287,1236.7271379309946,997.8538472009303,699.7376431792998,110116,怀柔区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7d,-54.6368046,-198.1841267,-246.7320054,-310.957419,-357.2631516,-430.4169825,-352.8923317,-346.4898314,-418.4016565,-443.7290536,-751.6231236,-555.0216864,-535.1320777,-452.1347437,Pinggu,0.24717634628748406,7.502560818311169,8.799135425902584,16.224292708900382,15.938596565006812,22.18474829201953,22.350772113831923,23.38823471139493,26.52300083049191,24.595767891610716,25.254751561396066,23.211939930652967,19.219133227907662,18.207300720201594,5.34887366495474E9,5.677617245654681E9,5.587605018278959E9,6.106079189252756E9,5.810920237750787E9,7.16596226578221E9,5.8709378714832535E9,5.073954230960402E9,6.505927530243498E9,4.54817868027039E9,5.594867318227146E9,5.251905213855102E9,4.295051548084219E9,4.310416242708117E9,1.5472996922072273,9.23458587965498,8.674474951194005,17.228828732853252,15.602710424372647,22.275147588465465,21.917578707275048,22.846576335423823,25.585962421653527,24.07601486617651,25.439756611305732,22.55004412625026,19.218140885934638,18.255086934642804,13.355861707706937,21.010066993899773,23.63021954475567,30.65792070393305,27.484041042944146,33.51131298404872,32.030458910546045,31.57461794829915,37.80375015342961,31.552704343202088,32.41731470106531,32.29475658227368,28.01297092542958,26.564728569589903,-6.564814491,-2.975082224,-2.774331265,2.988491246529339,6.508400208673882,10.442136091468296,13.157614091252439,13.156906481443025,13.88981422081627,19.7281286229103,17.05880702915299,16.4110086247149,10.777812358354208,10.142643589894561,-125.1814212,-303.3346777,-415.6059261,-472.2292288,-607.8727359,-608.8528069,-638.2650041,-663.3517085,-596.0835064,-842.7635028,-1034.346404,-917.1802158,-768.3853786,-684.9303202,1.5676217666437249,45.89284103190492,216.0549592438618,113.59857115398229,533.23340608586,69.31201753232456,540.556282578373,709.8314298142058,48.97013890577217,1657.5914645876846,289.6559939859526,1301.8194839643415,726.6481671008128,643.0577575372454,110117,平谷区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7f,-66.31001009,-191.6039831,-225.5313824,-282.2290111,-273.0431796,-335.1844495,-270.8107512,-192.9923386,-187.0808067,-381.809154,-692.6014465,-527.4716456,-460.0986757,-418.234796,Changping,0.3700987144226266,7.838367244265138,9.317734595842461,16.513853570778434,16.313274946590038,22.84185564630362,22.541531469038617,24.662572733736944,27.691753476857762,24.31700637507146,25.153918035025633,23.38530212245611,19.026944936680863,18.132775651375336,5.328380860559285E9,5.712975405695034E9,5.681243496441038E9,6.186259054541286E9,5.837705438324841E9,7.284265678190002E9,5.87614576557056E9,5.189631767627382E9,6.2066432034302E9,4.255370451711958E9,5.623195532782243E9,5.422240413447874E9,4.155666194061792E9,4.356368131091795E9,1.7252357181377345,9.131980150489703,8.81632249216382,16.979470198179893,15.44398429832215,22.567041991883713,21.746981993766116,23.531033524727,26.11726156715443,23.597693110091907,24.845122861307797,22.364341643488206,18.687931157337893,17.726145822686146,14.484891900855603,20.95318737351347,24.911778032987126,31.001461824861185,29.08496785936882,34.23011292060153,32.257461782148376,31.593634615573944,38.370071329381794,31.30091203311901,33.25063641750167,31.609096378978553,27.397000888170265,27.147815284423515,-6.135146005,-2.885097751,-3.022663159,2.3898639298644424,5.342016669828853,11.537487615139195,11.965888893192782,14.245048514942699,15.365764638357705,18.939696555992303,16.523429108298135,16.205136314040246,10.62280378196822,9.590765259497035,-156.6010956,-310.644054,-430.1991217,-432.3675015,-517.1678092,-513.2647254,-552.990015,-453.6930446,-343.6721141,-827.0707505,-1038.574203,-951.4292323,-760.7861463,-686.3678189,3.110652691122426,39.597084916015724,231.6161017833834,23.455345555093597,508.1700235275848,100.96388335964814,443.10135627721473,311.7839795932799,163.38489441158575,1960.3618842689539,277.04912420328486,1127.6815364420497,1202.6742420246028,543.0589934612738,110114,昌平区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a81,-89.74549683,-121.9876999,-186.3333371,-211.3133037,-327.63658,-425.2264889,-194.4776684,-140.4475554,-128.0960226,-548.7613621,-945.3279965,-707.8117534,-645.1001779,-509.0769835,Daxing,3.5026322268850896,12.501296998300072,12.861003282658361,20.5714773220056,19.39986430669039,25.838486028999483,27.14190695536676,28.191264704562705,30.86018098276242,26.44085022252807,27.098723882104228,25.753954465635683,21.31254633387632,21.072144709673964,5.308268848035675E9,5.735295906785924E9,5.740618406615056E9,6.137184414547675E9,5.805609044915729E9,7.247347274721849E9,6.129574556821556E9,5.153594542395931E9,6.275345711230567E9,4.379796154789955E9,5.515500772183435E9,5.41196617390247E9,4.422126235527333E9,4.405900611038246E9,3.538615806170989,11.916050539973382,11.312237740278846,19.929471637525626,18.015747732576788,25.058648828895073,25.272399661748715,26.299921372464578,28.57607228365773,25.43958415587327,26.580300397249935,24.54888212158618,20.46260774455939,20.113649100008836,17.33984024042311,24.744068642092177,28.412564909436526,33.666158573193606,32.28125872295034,35.86484981139185,35.0801395082318,35.33318243667599,40.71953717060971,32.80607725144127,34.69811522195958,34.17576187749021,29.894553219774107,28.71391963605401,-6.58315073,-1.77820546,0.35366757438265645,5.832307896889494,7.817868604012263,14.024315486177741,15.092998044879682,15.487441184102453,18.137439376104993,20.351294680261823,16.648651066512336,18.02386073213989,11.761860129636652,13.076061071693116,-130.7363361,-164.5689253,-294.5194933,-288.3428781,-497.465468,-556.4994501,-304.432922,-275.9883027,-231.3182839,-876.7663683,-1125.576349,-959.3433251,-833.4427925,-665.4531904,0.3923760613679636,24.85710575286684,167.54780286189194,34.158170682359014,574.2137109342705,142.25756009797587,137.86040389262521,241.31679161256147,96.02705045516976,2159.7215026216245,257.99603618757,858.7214981426846,671.9352210729702,364.7209042091942,110115,大兴区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a82,-109.1520211,-161.5470814,-238.6567858,-282.3630275,-382.7078708,-592.9480331,-263.7902961,-249.8073762,-195.7022522,-561.5581045,-999.118764,-764.7042479,-683.509777,-559.8107674,Tongzhou,3.3191079182370355,12.131198442756341,12.392449434288615,20.133432591426004,19.152680618594516,25.115937226675452,26.620921519446178,27.373202285106238,30.50676761423545,26.377264865446065,26.978476231782995,25.51155923341795,21.21408560121229,20.66284418477655,5.310692271116088E9,5.700248358599695E9,5.684923045361405E9,6.115565051095476E9,5.831267635610796E9,7.214055236383016E9,6.032337699704852E9,5.105451179117491E9,6.344951406785917E9,4.424134358631698E9,5.544983722351664E9,5.454553388068993E9,4.431069338559152E9,4.371135602008181E9,3.332213737851113,11.694997855491946,11.043867111205996,19.746484717387062,17.9843435813167,24.71762857540362,25.025633693876888,25.900821364321757,28.429157908276046,25.452895219604866,26.661068306134553,24.431216404448527,20.465581591717754,19.86327407198393,17.22354063058831,24.855387114240003,27.841082327706495,33.76818792169747,31.624711311637604,36.00694358132105,34.950314846286545,35.428799185814825,40.74705953969587,32.732917329862545,34.744444849584035,34.136241407518284,29.74813390954751,28.497185796267054,-6.813311723,-2.545733524,-0.551442094,4.183127108487239,8.354990261870567,13.744983718921636,15.04822642091035,15.599108939975912,17.481056909437328,20.79600361043759,17.206565277297805,18.190840977507776,11.224081896497081,11.935121024738681,-149.71469,-208.437271,-349.3221665,-356.7068037,-540.7836461,-733.3650861,-384.1519276,-421.0560228,-283.2134389,-906.4929634,-1168.60307,-1018.534293,-861.9957725,-721.9298112,0.46329672898672786,41.171150298016755,182.12820768549807,30.567077548303878,562.5645506546898,246.37856950571265,168.77446813649556,338.8727821220956,64.31878619178568,2428.2047891017924,316.3179603436329,1073.195707307857,641.4168931011372,455.809255915292,110112,通州区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a83,-96.5508498,-172.8116447,-238.2657273,-252.2519069,-282.9940905,-286.3104749,-204.5099743,-174.2768307,-108.3773204,-508.1129854,-885.4302542,-694.8380782,-611.9894441,-520.3801486,Shunyi,1.3478801761895578,10.049239224571943,10.977055791762742,18.548823107690765,18.21389397132126,24.99937309817988,25.08860599726678,26.59991957291009,30.078525817792197,25.76270001497648,26.326437786709217,24.6325203580228,20.328517933960892,19.410487762391984,5.3258883997725725E9,5.683465025351319E9,5.675073171006196E9,6.125551977325164E9,5.804676961779063E9,7.2110255375373535E9,5.890264062735605E9,5.175955791423197E9,6.419365609326624E9,4.29942549627633E9,5.563486659445608E9,5.450575413073889E9,4.329275681696976E9,4.354720352086152E9,2.6066950136610627,10.51103301972754,10.121730714852907,18.75266279734035,17.211076963577362,24.23317419813041,23.818401210254944,25.151742285063502,27.94824799431712,24.991447232462516,26.268758920732143,23.76230843412419,19.992733286915513,19.075366691883588,15.634812793787322,23.20402955814286,25.487086095337297,32.881097590054466,29.210343421513443,36.047350460308316,34.38910205385083,34.32784241434439,40.20844057711501,32.97438177992932,33.978936812064426,33.50592567288148,29.240669174861655,28.28218144452957,-5.830513465,-3.092430101,-2.431710967,2.9816625300371498,7.130899887529847,12.226168987841392,13.640115189621838,15.032941492375434,15.821801001546012,20.580241947897,17.037009739111213,16.87481124699987,10.770308060270729,11.151315391028959,-156.6947208,-241.7759027,-386.5674319,-348.7145481,-469.3832697,-399.2753076,-406.4194571,-392.1894001,-203.8645461,-863.6707428,-1121.761876,-1006.037777,-834.1916259,-721.8747452,1.5201563456567775,37.80371275328914,193.25020524389015,20.405705046514974,466.3140636835992,46.17882145092628,307.9599179661931,302.6421872248139,59.99217385977407,1912.8319424027495,256.3747594831627,1147.2751080770952,840.5762791575901,546.902499258509,110113,顺义区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a84,-86.69387816,-189.0746315,-242.6071528,-280.2470823,-327.2352587,-367.184739,-258.6066037,-185.5987014,-232.8324682,-444.7702758,-815.7184532,-607.7949355,-576.4106482,-517.7471404,Fangshan,1.0943519586498691,9.082870857136362,10.145867254301827,17.504593023401657,16.577727791910498,23.23224310005018,23.596658635710856,25.034192772752842,27.248458011867484,24.279270424975877,24.9208752782141,23.235224262762042,18.9320187553228,18.506324975959316,5.314452522868035E9,5.741893969773127E9,5.729442452513981E9,6.160016064382879E9,5.732281802009493E9,7.277982178899431E9,6.11247247028315E9,5.152987067109127E9,6.154705169672435E9,4.364275348480035E9,5.499415803530158E9,5.342986473932113E9,4.235245183729101E9,4.359677304139237E9,2.0544227111796314,9.528012387241649,8.957196821075545,17.319709896118393,15.406048108912987,22.418444927912624,22.246814009480687,23.56032338548767,25.716437621495604,23.450804915370956,24.41660752895842,22.096458187995818,18.25965169364383,17.82935482247351,14.576302156007847,21.015723099716606,25.887601933961786,30.49774659961013,29.987071380130136,33.04950060526057,32.01987046826239,31.60297165131023,37.57927123897876,30.46599202938166,32.11150097765835,31.007086316906527,27.284414248790227,26.68201773197425,-6.525302242,-3.49383695,-1.585082776,2.7991781645319023,5.298420681372903,11.093275773844075,11.990086073953035,13.515156641072483,15.54894510486406,18.715967076538636,15.408376625450595,15.873037295665236,10.465208508969717,10.29863080577093,-147.2468998,-265.0107517,-400.6401893,-404.967294,-552.0745284,-530.3536101,-464.5122868,-412.4977146,-437.687467,-863.3255319,-1095.794733,-1006.498205,-819.4897054,-718.9876464,1.0828289978349865,22.609411717670564,257.8945988668337,53.923660752513506,598.6648987221953,135.79880366852996,304.3924261056197,445.89883507899384,338.8241138560734,2095.578175754947,350.0906614732278,1334.0806851341033,883.8731411752076,491.4995228028912,110111,房山区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000adf,-48.87071691,-234.799753,-284.3426302,-417.1967595,-401.9036206,-581.8746311,-469.6830079,-374.3418733,-424.7121272,-421.6743699,-795.0971505,-593.6028328,-489.7723572,-470.893739,Mentougou,-0.351547644,5.320420460315061,6.78630963985264,13.83059615879556,13.677656527442041,19.693223609224546,19.702235035837546,21.503286375648557,23.763933538464062,22.31769244909628,23.2590585583905,21.35069256296553,17.267436245646703,16.69471952371209,5.334111047499449E9,5.733098859967059E9,5.688476651999614E9,6.200025332998909E9,5.805753152983605E9,7.310712070368377E9,5.975768006088541E9,5.164490759949202E9,6.080230100025721E9,4.423167991802791E9,5.625519662257268E9,5.380721174652134E9,4.0991453457915387E9,4.344856528417953E9,0.35280478834617574,7.539181497394592,6.858869840066374,14.845439693902717,13.212999030951762,20.0081279152216,19.44158745614383,21.102241708330897,23.382788933473712,21.893235499182016,23.027446056796954,20.46380611198608,16.645424573259124,16.10575546383266,13.111098445688281,18.531617124581064,24.566829205736724,28.010486166369294,28.717040461473527,31.16206471635484,29.52543892801546,28.58988321877313,35.15630250624671,29.480935896571303,31.465079149787837,29.434299001183557,25.369322308983836,24.375305492887794,-8.623270185,-3.609736765,-3.839729039,1.0003189777641366,3.770946443031868,9.132676841987037,9.75983268361035,12.165209804739016,13.798027245792365,17.148969013700782,14.689525434705967,14.470411146815445,8.959215544084488,7.46102316899557,-108.5487383,-333.6892293,-432.6988094,-563.4536181,-629.9981114,-794.1454392,-707.438329,-648.5204875,-636.263972,-878.0626673,-1050.675854,-980.6226884,-735.6352073,-674.5280939,3.4504779574811324,40.56669659774208,299.9849073300976,56.267803165692726,600.65454495599,313.7658455298192,524.1855153418395,482.195881077554,468.2471975297768,2405.1192835555935,337.63564997216196,1232.5518837792313,1057.6244157791548,629.6692092119562,110109,门头沟区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
