system:index,evaporation_from_bare_soil_sum_200303010315,evaporation_from_bare_soil_sum_200303160331,evaporation_from_bare_soil_sum_200304010415,evaporation_from_bare_soil_sum_200304160430,evaporation_from_bare_soil_sum_200305010515,evaporation_from_bare_soil_sum_200305160531,evaporation_from_bare_soil_sum_200306010615,evaporation_from_bare_soil_sum_200306160630,evaporation_from_bare_soil_sum_200307010715,evaporation_from_bare_soil_sum_200307160731,evaporation_from_bare_soil_sum_200308010815,evaporation_from_bare_soil_sum_200308160831,evaporation_from_bare_soil_sum_200309010915,evaporation_from_bare_soil_sum_200309160930,name,soil_temperature_level_1_200303010315,soil_temperature_level_1_200303160331,soil_temperature_level_1_200304010415,soil_temperature_level_1_200304160430,soil_temperature_level_1_200305010515,soil_temperature_level_1_200305160531,soil_temperature_level_1_200306010615,soil_temperature_level_1_200306160630,soil_temperature_level_1_200307010715,soil_temperature_level_1_200307160731,soil_temperature_level_1_200308010815,soil_temperature_level_1_200308160831,soil_temperature_level_1_200309010915,soil_temperature_level_1_200309160930,surface_solar_radiation_downwards_sum_200303010315,surface_solar_radiation_downwards_sum_200303160331,surface_solar_radiation_downwards_sum_200304010415,surface_solar_radiation_downwards_sum_200304160430,surface_solar_radiation_downwards_sum_200305010515,surface_solar_radiation_downwards_sum_200305160531,surface_solar_radiation_downwards_sum_200306010615,surface_solar_radiation_downwards_sum_200306160630,surface_solar_radiation_downwards_sum_200307010715,surface_solar_radiation_downwards_sum_200307160731,surface_solar_radiation_downwards_sum_200308010815,surface_solar_radiation_downwards_sum_200308160831,surface_solar_radiation_downwards_sum_200309010915,surface_solar_radiation_downwards_sum_200309160930,temperature_2m_200303010315,temperature_2m_200303160331,temperature_2m_200304010415,temperature_2m_200304160430,temperature_2m_200305010515,temperature_2m_200305160531,temperature_2m_200306010615,temperature_2m_200306160630,temperature_2m_200307010715,temperature_2m_200307160731,temperature_2m_200308010815,temperature_2m_200308160831,temperature_2m_200309010915,temperature_2m_200309160930,temperature_2m_max_200303010315,temperature_2m_max_200303160331,temperature_2m_max_200304010415,temperature_2m_max_200304160430,temperature_2m_max_200305010515,temperature_2m_max_200305160531,temperature_2m_max_200306010615,temperature_2m_max_200306160630,temperature_2m_max_200307010715,temperature_2m_max_200307160731,temperature_2m_max_200308010815,temperature_2m_max_200308160831,temperature_2m_max_200309010915,temperature_2m_max_200309160930,temperature_2m_min_200303010315,temperature_2m_min_200303160331,temperature_2m_min_200304010415,temperature_2m_min_200304160430,temperature_2m_min_200305010515,temperature_2m_min_200305160531,temperature_2m_min_200306010615,temperature_2m_min_200306160630,temperature_2m_min_200307010715,temperature_2m_min_200307160731,temperature_2m_min_200308010815,temperature_2m_min_200308160831,temperature_2m_min_200309010915,temperature_2m_min_200309160930,total_evaporation_sum_200303010315,total_evaporation_sum_200303160331,total_evaporation_sum_200304010415,total_evaporation_sum_200304160430,total_evaporation_sum_200305010515,total_evaporation_sum_200305160531,total_evaporation_sum_200306010615,total_evaporation_sum_200306160630,total_evaporation_sum_200307010715,total_evaporation_sum_200307160731,total_evaporation_sum_200308010815,total_evaporation_sum_200308160831,total_evaporation_sum_200309010915,total_evaporation_sum_200309160930,total_precipitation_sum_200303010315,total_precipitation_sum_200303160331,total_precipitation_sum_200304010415,total_precipitation_sum_200304160430,total_precipitation_sum_200305010515,total_precipitation_sum_200305160531,total_precipitation_sum_200306010615,total_precipitation_sum_200306160630,total_precipitation_sum_200307010715,total_precipitation_sum_200307160731,total_precipitation_sum_200308010815,total_precipitation_sum_200308160831,total_precipitation_sum_200309010915,total_precipitation_sum_200309160930,Code,县名,市代码,市名,省代码,省名,.geo
00000000000000000a79,-28.67951667,-160.9536157,-263.1026316,-335.6082603,-348.0433743,-519.5755688,-593.2849849,-677.0173344,-554.8925016,-384.0795101,-625.6561305,-437.4501541,-449.897654,-256.6726511,Miyun,-0.113099252,2.80455004302594,7.103778032684184,11.56833950670505,16.233159219732315,19.536274885004847,19.980446107611353,23.185021332159288,23.655882041898746,24.272047006779424,24.53010205362361,23.164679516426524,20.163185584021083,16.499597308379332,3.996751715649893E9,5.093481433117275E9,5.106991803015266E9,5.255648072093147E9,5.015272401095035E9,6.3918278995084305E9,6.141632878950007E9,6.347193130549446E9,5.749362675012959E9,4.401259181089499E9,5.804287525617431E9,4.963520863839457E9,4.714213670929668E9,3.066907269653779E9,0.609922159501395,5.8950894441112744,9.68482393419311,13.320467387772874,16.98980665195718,20.455377023114742,20.207212581647823,23.811396118613892,23.741371988559298,24.289635979738108,24.652947301206538,22.81961600903294,19.88241961830687,16.04275822281016,9.918830359884028,19.246072505444754,22.098393421784262,25.440047451378312,26.872096625911883,28.905563007899357,31.078429913660823,32.77663298787498,32.34233738989306,34.572644528813115,32.95562121246191,32.22183843061362,29.253493998015113,24.832103685348017,-6.972185325,-3.846954969,-2.38742942,1.1913800778874761,5.320049134478299,9.66848409979403,10.232403988863018,14.512456561726768,16.001670430654908,18.417813463087896,16.53936410899773,13.113533749809985,11.805999291517118,8.277632519191336,-109.5062591,-304.6394958,-422.0217081,-542.8977545,-600.5966668,-850.3602848,-941.4061954,-1051.744306,-873.6233999,-764.5848641,-933.7245128,-790.73144,-713.949427,-506.1056572,247.81674896229288,296.22735048166294,123.99342279647152,204.70718745756008,251.8987063188598,728.6137116688433,495.92804976187045,556.2028052822267,175.30502381167224,1204.4379595784085,166.42895146633805,793.393130251955,490.6707609524328,1788.7624512556445,110118,密云区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7b,-11.42770776,-127.9708398,-278.8630442,-403.3144419,-377.1828281,-663.6822856,-671.6187436,-810.3670404,-704.3607827,-455.2094773,-763.2056077,-543.7904434,-521.3526339,-283.3390854,Yanqing,-0.722876375,1.3206314882532555,5.058352830923799,8.980595478582018,13.178914516857578,16.683606171697015,17.496207866582075,20.717897303997468,21.109484324217465,22.179766233703912,22.225159707857813,20.713098057992184,18.22105000448995,14.983587121919795,3.9951742857510347E9,5.020106710328745E9,5.016595901015371E9,5.3171158248570385E9,4.655339624024637E9,6.380801510749312E9,6.0744111709605875E9,6.267849100906358E9,5.899633585801292E9,4.581519973970866E9,5.812600974392272E9,5.004259274722333E9,4.82764672685245E9,3.087952789730204E9,-0.810098939,4.446701059041274,7.303373870154157,10.68247638543005,14.079234055085674,17.776838472938685,17.97653904604872,21.59838042057473,21.5684075229654,22.270864778133376,22.27152354795299,20.4337738523574,17.90669807901895,14.382535455964,8.619373859609263,19.104593634784816,20.53482669039942,24.167960229832723,26.489975637574897,27.84711426307707,29.227266640049717,30.238316307970983,29.68153193000043,32.1780807413909,30.458448173479567,30.048532619745863,28.22235010643798,22.627903262268074,-7.540071133,-7.002780512,-3.116446757,-1.710337321,1.4827824808738066,5.162483819915015,7.802783431628815,12.294080018848447,11.166695139285183,16.20798505284981,13.790628763031906,10.940737754302347,9.212975239731868,5.468116155110907,-79.8366922,-265.910663,-421.4500217,-583.6438384,-609.5086223,-945.4509646,-963.1241582,-1087.348527,-950.5765235,-837.3968454,-1018.240185,-841.8734119,-753.4662371,-492.8144449,196.16430570002709,266.8668740195712,246.4255875405844,201.7374461092919,500.23276869999916,633.4047033391412,730.3983125035812,544.3677400806782,260.917534590279,1447.7398874166215,225.44318350989212,867.5161764369606,578.5979324053599,1656.189871042121,110119,延庆区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7c,-26.73405183,-154.0868979,-286.6301214,-396.6035417,-391.5132105,-662.5166423,-691.3268207,-798.9665725,-656.3620418,-457.149013,-795.3320353,-559.081239,-544.8236263,-299.1554638,Huairou,-0.542069993,1.9594042723395866,5.993576359278774,10.17354011992487,14.234209002998673,17.74238824312429,18.47632058331993,21.746931364246425,22.358558848926204,22.950640075254935,22.96512844970543,21.72479564470234,18.835544814670943,15.412679478373429,3.948525034640416E9,5.042999976565262E9,5.021688524693192E9,5.24950234001985E9,4.745443098213608E9,6.35072180709407E9,6.109873639058941E9,6.296225542768282E9,5.822898804141955E9,4.518429745499086E9,5.795943352254657E9,5.021428116768936E9,4.749586993324873E9,3.051902882704898E9,-0.314598226,4.88940994476329,7.970005429564324,11.596163407846637,15.127320522090146,18.65066990300914,18.737838051966737,22.41169443698244,22.538378852520967,23.03173184531989,23.01822743825552,21.433881333988577,18.535023618067893,14.815795277053788,9.489793017382597,19.007722296458244,21.218563450609558,24.606367859598798,26.78500813585988,28.280517816717964,30.304372447852632,31.456301954808456,31.09675622535215,32.95812663284721,31.298884039707325,31.089511138156155,28.19067438289346,22.891333657699303,-7.442969799,-6.097134038,-2.60293229,-0.967167672,2.525684951976206,6.173658375422073,8.64249101944676,13.061225984903178,13.00170727277622,16.99997272601056,14.56969285925446,11.618768480590864,10.015039373361647,5.7861892851640935,-99.79203061,-296.1188507,-434.3548316,-579.9078041,-618.5399424,-931.1829707,-968.6330968,-1081.167507,-892.1825511,-830.1915924,-1029.349193,-866.4366993,-772.8247138,-519.2078269,227.4685167408793,268.4665090665989,207.88686726297175,221.59700660528836,499.7525925018543,621.0534113102522,612.244510663643,563.6956406756267,220.6864919258289,1615.4878734246433,144.07580932170632,995.1458407371993,632.9769927430142,2004.7027560974489,110116,怀柔区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7d,-52.68082241,-228.7325864,-309.8120123,-349.4960632,-354.5944972,-502.2447875,-625.9999968,-696.3865003,-477.2583668,-376.8659567,-726.1540536,-461.9300744,-538.4929602,-322.5932742,Pinggu,0.3444278669612207,4.465465106035988,9.240992656921811,13.560263664673798,17.705992694377525,20.7318835911553,20.94839042568063,24.231284513173904,25.00808485271796,24.886315534037987,24.899331890193544,23.719619680666113,20.704997204619634,17.143557065865807,4.0750208570602007E9,5.052070117129316E9,5.140719073578211E9,5.339642456198975E9,5.316626108377264E9,6.461440622140464E9,6.15713289794208E9,6.380470175108253E9,5.697277653027186E9,4.2272567926420403E9,5.756341802263001E9,4.898893364022064E9,4.676547601343281E9,3.1390105199919834E9,1.0913298871824066,6.540598951195155,10.733764472849812,14.276580227570564,17.75399701337503,21.10023704703049,20.78696007260564,24.46643293187197,24.506445754458603,24.675186053536255,24.911251759911302,23.293920790632647,20.381413145193182,16.691669870264278,10.809349714178492,19.68786604740755,23.664626550937488,26.932684011136214,27.893747032412048,30.04382898257042,31.77920251339793,33.61839094109383,33.7296659669508,34.5931530482756,33.198151024351745,32.67821818803409,30.127088498956503,25.865810498296995,-5.488724207,-3.376263445,0.24100958401056244,2.245540091632598,6.857823947097885,10.342718707867004,10.886198789628143,15.478069205017349,17.459132182043888,18.785799113965787,16.691694235895657,13.007013023622983,12.89689283198125,8.094705218231727,-136.5957923,-385.5000542,-472.8340888,-549.2470382,-551.2501244,-796.9680775,-924.9341703,-1020.759366,-714.1665279,-718.1481119,-991.1589866,-785.6478398,-764.8755498,-576.4088454,211.2470465633042,294.0017918338957,94.11301753021567,231.30415478695522,148.9956500617179,827.720740325287,527.614159159451,486.4185109093595,159.76500908584208,1422.7883981708371,142.50072344054178,817.3906420723539,607.043438480113,1826.2923444292533,110117,平谷区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a7f,-62.56107418,-236.9112532,-300.2397947,-325.4761395,-286.0388367,-448.8974913,-448.991503,-536.3962299,-365.0803149,-328.1101657,-667.4938818,-402.9119911,-455.478287,-279.8593156,Changping,0.40279196985862675,5.0227642756979725,9.410620167708279,13.647275819087525,17.505053013935076,20.93303980479254,21.920140202477466,25.097666681849308,25.963862086523374,25.088910807909812,24.983818015067985,23.953904827550126,20.84043410251269,17.383283298970934,3.9745052070784225E9,5.028959220710168E9,5.061514518463132E9,5.408544582661628E9,4.903025001104599E9,6.461503326687517E9,6.220688336697528E9,6.365244511084162E9,5.941109984187311E9,4.380974775424538E9,5.754446051360674E9,4.89914760687324E9,4.7196269334296465E9,3.0654384951243787E9,1.3296574962688419,6.788523104284518,10.207516235819261,14.150273249261925,17.41045324073961,20.980188285091998,21.44308765906184,25.154953849668814,25.146809905385172,24.58867657182862,24.79376526138785,23.3848178322427,20.360333071220712,16.729109146266676,11.600266377750094,20.437070270191754,23.38317017596062,27.640687638993644,29.21227234105848,30.818881998428246,33.75895141668988,35.00473294514909,34.27114719242329,34.941511711367156,33.1625112723725,33.48384503667708,31.5448496542791,25.318027118555413,-4.575361825,-4.529568792,-0.004725245,1.1052383915886401,4.91573088529263,8.984391517080832,11.30516889814976,15.606282504044088,15.318121532576107,18.69963791622574,16.75453967979621,13.434392809927141,12.19782735829328,7.926876674294989,-158.5534411,-433.439258,-509.2408227,-562.5645612,-530.7585063,-780.1556646,-762.6291645,-899.1321562,-599.4865943,-743.6163058,-1023.524152,-734.3657668,-755.2743053,-542.3114368,199.27575880668007,258.9050086256475,152.40638499764702,178.58469488293977,325.21436015576927,413.929295664013,435.71668107862797,426.1224221600981,155.5806162215016,1559.113591962161,178.99722358506673,721.4690331828447,494.40518772839613,1695.423647178673,110114,昌平区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a81,-106.2284697,-244.3151821,-283.9939777,-313.5830147,-324.6220964,-548.5899689,-497.4112623,-597.481797,-266.2137173,-394.5746941,-824.7278721,-410.9214096,-508.427606,-385.8028531,Daxing,3.4075990920523593,9.221333408780023,13.770572518276591,17.41835439001274,20.867895767375863,24.02576029964952,24.629317948412027,28.363022321984612,29.299704673595777,27.799587910743355,27.219776660882278,27.083807658078378,24.055319563959774,19.84780889151545,4.026289072547144E9,5.027936093704409E9,5.124577220795223E9,5.51705935205167E9,5.374745618337358E9,6.668980993365783E9,6.137712222047947E9,6.401629970938249E9,5.830122044428804E9,4.377142322890937E9,5.546765264166E9,4.9995038150771885E9,4.799359361419905E9,3.174297102691893E9,2.948214209943386,9.117680123017115,13.43122938537719,16.708588213215695,19.840803482736906,23.24851590791488,23.26986080569532,27.488239576345542,27.5568532203251,26.834990471932933,26.60960448028341,25.71723309048807,22.80180332885762,18.695172274610787,13.63831734122082,22.883181303767714,27.6011405958681,30.00343149159548,30.945603225103888,32.128101651226025,35.5287633372791,37.55516770456733,37.47248032109505,36.173914538631884,35.58265847214086,35.89948848747923,32.29191353129684,28.879293843195587,-5.133447018,-2.296272731,2.4834837647814827,4.185774719260474,8.578820224350446,10.835895508122908,12.73892196283921,18.3133867379496,18.37296726546894,20.07121272864796,19.062879578590064,15.033034390395159,14.68544492323185,9.956675402623652,-173.8200865,-366.1143587,-386.2645147,-454.4017056,-467.2661688,-719.5435895,-670.7402177,-773.4265637,-397.0900459,-666.1903238,-1012.548045,-605.2831619,-661.8130009,-570.6938529,209.21458084182902,197.82546145345418,96.2254366012296,289.0335442220605,390.47855343511503,439.49403265130087,428.95887961968185,234.8549415108678,153.68494085365097,1371.6431676445138,252.36279270736193,533.9887099241671,574.6183190052875,1637.4436819759853,110115,大兴区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a82,-112.9579831,-267.8537194,-320.2508399,-348.5832176,-380.9448146,-637.3552217,-649.6882251,-735.0811486,-417.5709825,-459.3485669,-920.7673838,-519.2317319,-647.8995016,-408.112564,Tongzhou,3.092718463473865,8.82771104950921,13.39804065258471,17.185898112287493,20.759465951080237,23.526068485557428,24.092096101394986,27.533343685309976,28.582262573132294,27.295783901524434,26.853808653750477,26.61392992492382,23.319406748299805,19.495307886583422,4.071322016463312E9,5.024641669301814E9,5.119290675503449E9,5.479417802991174E9,5.408468246702315E9,6.605453290439935E9,6.192297905144987E9,6.394952475999595E9,5.812220240879769E9,4.315481169637379E9,5.620785793732752E9,4.969896837502942E9,4.735904067423296E9,3.2015856095672493E9,2.775044264800299,8.82711579675794,13.269042424343693,16.646312224813403,19.960217923141094,23.11597687434341,23.06877032413473,26.99168452638587,27.271624207600038,26.592034597830523,26.484021254810777,25.55566804378083,22.38924765979072,18.54212952210629,12.960292707170783,22.68050954496708,27.638653287020617,30.22728653944935,31.207710460563785,32.342634897108226,35.03845600276801,37.160540942402655,36.92797084535874,35.53532432209365,34.659653486524334,35.57419090394853,31.471733925559317,28.42933579482043,-5.270491752,-2.287847083,2.3258059018618327,3.154525201970903,8.564348582478338,11.078173590325715,13.132694383101056,17.923782623588288,18.397466271883502,19.969925591852782,19.22179246506136,14.899585292865726,15.251583287623045,10.014872733029472,-179.1472987,-391.0500943,-420.3065182,-481.6760105,-519.9120262,-818.746145,-823.5525255,-922.7960391,-558.0319466,-720.4003519,-1093.408156,-727.9305369,-794.0458833,-604.6896742,222.84861455978745,214.26896893095486,95.4940688899891,286.41761920733774,377.1418319108666,741.5097172060589,433.8081836780704,348.6792646062403,152.38099424791636,1652.076577773787,131.16534302824695,687.941358696832,895.2287900761197,1779.1037671006627,110112,通州区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a83,-94.79336804,-289.4436016,-322.5015959,-322.1073245,-287.6283652,-433.9052305,-530.5516691,-551.9053412,-219.5815888,-372.9309867,-815.8335501,-426.125782,-580.3787895,-363.1617141,Shunyi,1.336577754859465,6.90062587673622,11.590571759331707,15.810457946708187,19.88129118204824,23.129045953926862,23.79115812785442,27.29278770449268,28.673030943603518,26.688228093292064,26.444665420453326,26.0105974845916,22.128287586055368,18.419454082764698,4.0078977489268346E9,5.03691821416354E9,5.089261195263303E9,5.401421641092293E9,5.220194846167729E9,6.491883864290271E9,6.25657477524754E9,6.408222856110605E9,5.83711879863648E9,4.2555403998065777E9,5.734395889398232E9,4.95888374624581E9,4.611897344486061E9,3.103534271622758E9,2.2028055211429804,7.906386733425797,12.065937795413474,15.907959485339823,19.48572834596933,22.81671356299892,22.86756308394667,26.774476497861652,27.114188461378042,26.054226824354693,26.262196317227435,25.199482575936695,21.553822305405745,17.826888366590577,12.745822263667627,21.601509608054673,25.658664082785762,29.39373053281025,30.48877446032824,32.333835548423146,35.267851573176735,37.148547783676484,37.13530799265161,35.97577865422643,34.84633924745612,35.41811933267224,31.783297560444403,27.067210330351475,-5.047112382,-3.078886992,1.3161108634214935,2.3921588775368074,6.877762432487667,10.472975785947774,12.012128904470572,16.920181654771657,18.705820703089437,19.982656330965025,17.636643342443552,14.424250557679848,13.847478835436785,8.315464700415275,-172.6616457,-437.5091949,-461.2477009,-486.0026042,-457.9481486,-655.6303004,-740.5709416,-801.4190968,-358.6823233,-684.3511048,-1031.96582,-688.4116961,-784.5725645,-587.0100206,232.3235166805985,253.91300048312058,104.27977282684526,197.1969008202739,206.01833894606293,533.5961829747082,318.2404298916491,329.2147383227078,81.55785965573892,1470.2927727077501,91.28803801168405,730.7594785428038,633.0232828252226,1888.6411580813772,110113,顺义区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a84,-93.56325649,-290.3675931,-369.1753675,-414.4757989,-367.2622153,-584.6761142,-488.6858418,-582.5286377,-331.9738216,-383.8758829,-808.777468,-523.0532913,-485.8594768,-332.716786,Fangshan,0.8950771443082043,5.789104563495345,10.216210996888837,13.975847967321547,17.569819817575716,20.930086474124188,21.98175231798535,25.55336185102828,26.029290943032176,25.248625884454015,24.560003441256153,23.784481974641402,21.497418624467137,17.818518615341322,3.9357281842121587E9,5.028547320875916E9,5.108942015237469E9,5.443312067731019E9,5.079915493023986E9,6.567267290733401E9,6.057182745530998E9,6.364196509386479E9,5.850398683295915E9,4.506607241009351E9,5.505709833717037E9,4.961638838112307E9,4.847407652219377E9,3.049494586528198E9,1.4379438478864723,6.877840087415398,10.452725508086015,13.898881947102206,17.071271247048163,20.586519414322975,20.929139846117977,24.954159721869495,24.686436507776502,24.499871217506858,24.156766969615845,22.874576788360194,20.514311045739195,16.768261171392595,11.506740778246552,20.22358904286193,23.361754566918215,26.773625505860135,27.986001461350842,29.93345180131219,32.79604323818595,34.54262941873073,34.837567237410276,33.95273962696849,33.2133606316599,32.56970374708604,31.37996581894275,26.191773574455297,-5.111078579,-4.325995047,0.5125353597538129,1.4700056901842458,6.034339698461924,8.518827913711313,10.285860563399147,15.384049427038917,14.932273276025684,18.51750170891591,16.149165810249205,12.785337367003429,11.41521306805732,7.580099642546552,-174.1948138,-447.5670078,-524.5339816,-621.4875647,-585.2047443,-836.7112005,-729.3666343,-830.3379278,-540.0728959,-780.3184475,-1094.766216,-790.5297396,-716.8691561,-546.0655157,214.60164700874233,242.46620899890027,169.9286373917596,319.23483445844374,423.123901840433,376.80450678527836,404.862048446197,329.9613290947091,230.25451747216067,1627.6200660734298,640.6900894893465,624.4783672904155,402.2856015423988,1504.2279398537123,110111,房山区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000adf,-37.39993067,-198.8888856,-335.7470328,-419.1276585,-387.7059147,-674.4468281,-630.5265799,-776.2744006,-678.7992559,-451.9820489,-793.3877971,-565.1674119,-540.423974,-303.0220433,Mentougou,-0.288797416,2.8690132977377187,7.065874858310208,10.756166787271772,14.790946157566236,17.933608851020818,18.838379127422332,22.023504381568056,22.08157797553099,22.815354148416205,22.780398708007024,21.500704369296585,19.247457288681993,16.09479679357103,3.978847313199479E9,5.03453188773715E9,5.084407290486561E9,5.416122854645062E9,4.897097270560379E9,6.494292006975309E9,6.099568050258424E9,6.325304210922197E9,5.929378521390431E9,4.539625531048676E9,5.644055787274242E9,4.930556083497234E9,4.8710254547570095E9,3.059325589416709E9,0.04851794354057753,4.940777729927917,8.211649036974304,11.790061895216088,15.138102049057961,18.424533290006273,18.743410804514937,22.362666904604858,22.082292222039282,22.689945767151634,22.564987989512165,21.020042536059353,18.761729122069518,15.235655292289522,9.739023757275264,19.458350812652984,21.927501826816158,25.38655402258102,27.722656818280033,27.91613342850299,30.22666192074374,31.829175912990515,30.776188504254403,32.230504729816474,30.588238986137004,30.18084431401008,29.514936332545684,23.717756800396472,-6.217908377,-6.332176629,-1.281372134,-0.543220034,3.5417649257330472,6.752668391726166,8.873995996012143,13.429986050295756,12.213577277572092,16.78619413336611,14.845612756705602,11.427422244068058,10.266265275743294,7.537676802584197,-108.9460259,-346.2807884,-477.4702324,-606.478872,-622.8692964,-943.148409,-912.9217863,-1045.806844,-934.5128654,-875.7489427,-1087.264397,-824.4768577,-781.6622473,-522.5628449,196.86933136407652,248.22876949442988,190.40568341524005,278.38934818783036,673.4893355592187,544.6160651770904,627.7010828314202,573.356898858509,439.36488855875,1658.6314991531613,482.5149412223412,805.3095962647676,552.1384290045789,1529.687092757402,110109,门头沟区,110000,北京市,110000,北京市,"{""type"":""MultiPoint"",""coordinates"":[]}"
